"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CHURCAMPA (000)",11107,169,4906,3342,918,287,115,39,9,,1322
"Catolica (001)",7217,112,3121,2167,624,223,72,25,8,,865
"Cristiana / Evangelica (002)",3795,57,1742,1146,286,63,43,14,1,,443
"Otra (003)",46,,21,16,4,,,,,,5
"Ninguna (004)",49,,22,13,4,1,,,,,9
,,,,,,,,,,,
"URBANA (006)",2586,37,1032,777,264,101,38,11,3,,323
"Catolica (007)",2068,32,819,607,225,88,26,9,3,,259
"Cristiana / Evangelica (008)",479,5,199,158,35,13,12,2,,,55
"Otra (009)",17,,7,5,2,,,,,,3
"Ninguna (010)",22,,7,7,2,,,,,,6
,,,,,,,,,,,
"RURAL (012)",8521,132,3874,2565,654,186,77,28,6,,999
"Catolica (013)",5149,80,2302,1560,399,135,46,16,5,,606
"Cristiana / Evangelica (014)",3316,52,1543,988,251,50,31,12,1,,388
"Otra (015)",29,,14,11,2,,,,,,2
"Ninguna (016)",27,,15,6,2,1,,,,,3
