"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CAJABAMBA (000)",22020,721,7770,6916,4850,1763
"Agric., ganadería, caza y silvicultura (001)",13639,466,4741,3918,3118,1396
"Pesca (002)",1,,1,,,
"Explotación de minas y canteras (003)",304,8,174,95,26,1
"Industrias manufactureras (004)",768,14,270,231,186,67
"Suministro de electricidad, gas y agua (005)",22,,4,12,6,
"Construcción (006)",730,16,240,273,174,27
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1520,32,467,546,392,83
"Venta, mant.y rep. veh.autom.y motoc. (008)",85,,36,33,14,2
"Comercio al por mayor (009)",60,1,18,24,16,1
"Comercio al por menor (010)",1375,31,413,489,362,80
"Hoteles y restaurantes (011)",439,20,158,112,127,22
"Trans., almac. y comunicaciones (012)",451,11,224,149,57,10
"Intermediación financiera (013)",25,,16,8,1,
"Activid.inmobil., empres. y alquileres (014)",160,1,59,63,35,2
"Admin.pub. y defensa; p. segur.soc afil (015)",232,,67,106,53,6
"Enseñanza (016)",1196,,221,736,230,9
"Servicios sociales y de salud (017)",204,,46,89,67,2
"Otras activ. serv.comun.soc y personales (018)",245,5,90,86,50,14
"Hogares privados con servicio doméstico (019)",545,44,259,114,97,31
"Actividad economica no especificada (021)",608,1,213,191,142,61
"Desocupado (022)",931,103,520,187,89,32
"Hombres (023)",17594,543,6194,5414,3914,1529
"Agric., ganadería, caza y silvicultura (024)",12737,402,4388,3692,2937,1318
"Pesca (025)",1,,1,,,
"Explotación de minas y canteras (026)",280,5,158,91,25,1
"Industrias manufactureras (027)",573,11,201,170,141,50
"Suministro de electricidad, gas y agua (028)",21,,4,11,6,
"Construcción (029)",710,16,232,264,171,27
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",798,21,271,264,200,42
"Venta, mant.y rep. veh.autom.y motoc. (031)",77,,31,31,13,2
"Comercio al por mayor (032)",47,1,14,18,14,
"Comercio al por menor (033)",674,20,226,215,173,40
"Hoteles y restaurantes (034)",99,7,36,19,32,5
"Trans., almac. y comunicaciones (035)",417,10,203,141,53,10
"Intermediación financiera (036)",13,,4,8,1,
"Activid.inmobil., empres. y alquileres (037)",123,1,49,45,26,2
"Admin.pub. y defensa; p. segur.soc afil (038)",167,,48,76,37,6
"Enseñanza (039)",566,,91,351,117,7
"Servicios sociales y de salud (040)",104,,27,44,31,2
