"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia HUACAYBAMBA (000)",20321,431,8538,4275,3386,2482,1209
"Casa independiente (001)",20130,427,8465,4235,3346,2461,1196
"Vivienda en quinta (003)",10,1,4,2,3,,
"Choza o cabaña (005)",171,3,64,37,33,21,13
"Local no destinado para hab.humana (007)",10,,5,1,4,,
,,,,,,,
"URBANA (009)",3617,63,1371,802,703,477,201
"Casa independiente (010)",3602,62,1365,799,698,477,201
"Vivienda en quinta (012)",10,1,4,2,3,,
"Local no destinado para hab.humana (016)",5,,2,1,2,,
,,,,,,,
"RURAL (018)",16704,368,7167,3473,2683,2005,1008
"Casa independiente (019)",16528,365,7100,3436,2648,1984,995
"Choza o cabaña (023)",171,3,64,37,33,21,13
"Local no destinado para hab.humana (025)",5,,3,,2,,
