"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia CANDARAVE (000)",8373,107,1986,2008,1870,1543,859
"Hombres (001)",4379,44,1012,1089,981,827,426
"Mujeres (002)",3994,63,974,919,889,716,433
"Viviendas particulares (003)",8197,103,1986,1969,1789,1495,855
"Hombres (004)",4231,41,1012,1055,913,788,422
"Mujeres (005)",3966,62,974,914,876,707,433
"Viviendas colectivas (006)",131,1,,28,62,36,4
"Hombres (007)",122,,,26,56,36,4
"Mujeres (008)",9,1,,2,6,,
"Otro tipo (009)",45,3,,11,19,12,
"Hombres (010)",26,3,,8,12,3,
"Mujeres (011)",19,,,3,7,9,
,,,,,,,
"URBANA (012)",5436,71,1223,1293,1239,1041,569
"Hombres (013)",2799,33,632,679,646,543,266
"Mujeres (014)",2637,38,591,614,593,498,303
"Viviendas particulares (015)",5260,67,1223,1254,1158,993,565
"Hombres (016)",2651,30,632,645,578,504,262
"Mujeres (017)",2609,37,591,609,580,489,303
"Viviendas colectivas (018)",131,1,,28,62,36,4
"Hombres (019)",122,,,26,56,36,4
"Mujeres (020)",9,1,,2,6,,
"Otro tipo (021)",45,3,,11,19,12,
"Hombres (022)",26,3,,8,12,3,
"Mujeres (023)",19,,,3,7,9,
,,,,,,,
"RURAL (024)",2937,36,763,715,631,502,290
"Hombres (025)",1580,11,380,410,335,284,160
"Mujeres (026)",1357,25,383,305,296,218,130
"Viviendas particulares (027)",2937,36,763,715,631,502,290
"Hombres (028)",1580,11,380,410,335,284,160
"Mujeres (029)",1357,25,383,305,296,218,130
