"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia SUCRE (000)",6765,5819,3780,1278,761,946,12,185,675,74
"Casa independiente (001)",5901,5065,3491,1171,403,836,12,181,573,70
"Vivienda en quinta (003)",11,10,8,2,,1,,,1,
"Vivienda en casa de vecindad (004)",24,12,9,2,1,12,,4,8,
"Choza o cabaña (005)",817,723,271,96,356,94,,,91,3
"Vivienda improvisada (006)",12,9,1,7,1,3,,,2,1
,,,,,,,,,,
"URBANA (009)",2985,2646,2218,373,55,339,10,85,228,16
"Casa independiente (010)",2938,2615,2200,362,53,323,10,81,217,15
"Vivienda en quinta (012)",11,10,8,2,,1,,,1,
"Vivienda en casa de vecindad (013)",24,12,9,2,1,12,,4,8,
"Vivienda improvisada (015)",12,9,1,7,1,3,,,2,1
,,,,,,,,,,
"RURAL (018)",3780,3173,1562,905,706,607,2,100,447,58
"Casa independiente (019)",2963,2450,1291,809,350,513,2,100,356,55
"Choza o cabaña (023)",817,723,271,96,356,94,,,91,3
