"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia TAYACAJA (000)",89993,27724,24913,17344,13659,6353
"Hombres (001)",44563,14141,12454,8443,6636,2889
"Mujeres (002)",45430,13583,12459,8901,7023,3464
"PEA (003)",32013,736,10398,10534,7905,2440
"Hombres (004)",22594,432,7171,7437,5717,1837
"Mujeres (005)",9419,304,3227,3097,2188,603
"Ocupada (006)",30831,707,9788,10199,7741,2396
"Hombres (007)",21687,414,6729,7162,5579,1803
"Mujeres (008)",9144,293,3059,3037,2162,593
"Desocupada (009)",1182,29,610,335,164,44
"Hombres (010)",907,18,442,275,138,34
"Mujeres (011)",275,11,168,60,26,10
"No PEA (012)",57980,26988,14515,6810,5754,3913
"Hombres (013)",21969,13709,5283,1006,919,1052
"Mujeres (014)",36011,13279,9232,5804,4835,2861
,,,,,,
"URBANA (018)",22582,6345,6419,4742,3449,1627
"Hombres (019)",11184,3237,3285,2259,1676,727
"Mujeres (020)",11398,3108,3134,2483,1773,900
"PEA (021)",9002,274,2683,3247,2188,610
"Hombres (022)",5586,150,1621,1999,1422,394
"Mujeres (023)",3416,124,1062,1248,766,216
"Ocupada (024)",8593,265,2495,3123,2115,595
"Hombres (025)",5299,144,1498,1912,1361,384
"Mujeres (026)",3294,121,997,1211,754,211
"Desocupada (027)",409,9,188,124,73,15
"Hombres (028)",287,6,123,87,61,10
"Mujeres (029)",122,3,65,37,12,5
"No PEA (030)",13580,6071,3736,1495,1261,1017
"Hombres (031)",5598,3087,1664,260,254,333
"Mujeres (032)",7982,2984,2072,1235,1007,684
,,,,,,
"RURAL (036)",67411,21379,18494,12602,10210,4726
"Hombres (037)",33379,10904,9169,6184,4960,2162
"Mujeres (038)",34032,10475,9325,6418,5250,2564
"PEA (039)",23011,462,7715,7287,5717,1830
"Hombres (040)",17008,282,5550,5438,4295,1443
"Mujeres (041)",6003,180,2165,1849,1422,387
"Ocupada (042)",22238,442,7293,7076,5626,1801
"Hombres (043)",16388,270,5231,5250,4218,1419
"Mujeres (044)",5850,172,2062,1826,1408,382
"Desocupada (045)",773,20,422,211,91,29
"Hombres (046)",620,12,319,188,77,24
"Mujeres (047)",153,8,103,23,14,5
"No PEA (048)",44400,20917,10779,5315,4493,2896
"Hombres (049)",16371,10622,3619,746,665,719
"Mujeres (050)",28029,10295,7160,4569,3828,2177
