"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia POMABAMBA (000)",7087,6825,28,1220,1047,948,1787,1139,521,135,262,27191
"De 12 a 14 años (001)",5,3,1,2,,,,,,,2,2
"De 15 a 19 años (002)",151,137,3,118,13,3,,,,,14,153
"De 20 a 24 años (003)",714,616,3,402,150,47,12,2,,,98,904
"De 25 a 29 años (004)",823,764,1,275,261,153,69,5,,,59,1579
"De 30 a 34 años (005)",759,736,2,117,174,158,226,53,5,1,23,2316
"De 35 a 39 años (006)",801,783,2,56,112,164,294,126,28,1,18,3112
"De 40 a 44 años (007)",746,737,1,46,71,92,285,165,66,11,9,3444
"De 45 a 49 años (008)",602,595,1,28,63,74,181,150,81,17,7,3007
"De 50 y más años (009)",2486,2454,14,176,203,257,720,638,341,105,32,12674
"PEA (010)",1105,1033,2,226,248,152,261,90,44,10,72,3377
"De 15 a 19 años (012)",18,17,1,15,1,,,,,,1,17
"De 20 a 24 años (013)",96,77,,54,19,4,,,,,19,104
"De 25 a 29 años (014)",155,136,,60,53,16,5,2,,,19,249
"De 30 a 34 años (015)",146,133,,28,49,27,26,3,,,13,341
"De 35 a 39 años (016)",176,169,1,23,51,35,49,10,,,7,500
"De 40 a 44 años (017)",163,160,,19,27,28,69,14,2,1,3,572
"De 45 a 49 años (018)",118,115,,7,22,17,42,15,9,3,3,489
"De 50 y más años (019)",233,226,,20,26,25,70,46,33,6,7,1105
"Ocupada (020)",1058,994,1,204,242,148,257,89,43,10,64,3298
"De 15 a 19 años (022)",16,15,1,13,1,,,,,,1,15
"De 20 a 24 años (023)",86,70,,48,18,4,,,,,16,96
"De 25 a 29 años (024)",145,126,,53,50,16,5,2,,,19,236
