"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia COTABAMBAS (000)",22473,3819,8234,5799,4621
"Asiste actualmente (001)",16074,1326,7783,5405,1560
"No asiste (002)",6399,2493,451,394,3061
"Hombres (004)",11528,1929,4174,3020,2405
"Asiste actualmente (005)",8430,660,3941,2847,982
"No asiste (006)",3098,1269,233,173,1423
"Mujeres (008)",10945,1890,4060,2779,2216
"Asiste actualmente (009)",7644,666,3842,2558,578
"No asiste (010)",3301,1224,218,221,1638
,,,,,
"URBANA (012)",5667,851,1903,1570,1343
"Asiste actualmente (013)",4309,371,1855,1502,581
"No asiste (014)",1358,480,48,68,762
"Hombres (016)",2874,425,962,795,692
"Asiste actualmente (017)",2224,185,937,766,336
"No asiste (018)",650,240,25,29,356
"Mujeres (020)",2793,426,941,775,651
"Asiste actualmente (021)",2085,186,918,736,245
"No asiste (022)",708,240,23,39,406
,,,,,
"RURAL (024)",16806,2968,6331,4229,3278
"Asiste actualmente (025)",11765,955,5928,3903,979
"No asiste (026)",5041,2013,403,326,2299
"Hombres (028)",8654,1504,3212,2225,1713
"Asiste actualmente (029)",6206,475,3004,2081,646
"No asiste (030)",2448,1029,208,144,1067
"Mujeres (032)",8152,1464,3119,2004,1565
"Asiste actualmente (033)",5559,480,2924,1822,333
"No asiste (034)",2593,984,195,182,1232
