"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia ILO",,,,,,,,
"Hogares (001)",17687,13866,14923,7385,3618,9528,3639,1059
"Ocupantes presentes (002)",61077,48462,53776,27233,13550,35473,14075,2695
"Casa independiente",,,,,,,,
"Hogares (004)",15813,12362,13320,6308,2791,8294,2924,940
"Ocupantes presentes (005)",55449,43879,48793,23776,10814,31561,11653,2406
"Departamento en edificio",,,,,,,,
"Hogares (007)",1375,1158,1293,997,805,1157,696,37
"Ocupantes presentes (008)",4223,3591,4010,3194,2664,3650,2347,91
"Vivienda en quinta",,,,,,,,
"Hogares (010)",47,33,40,22,10,23,10,6
"Ocupantes presentes (011)",142,111,129,79,34,80,46,11
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",48,32,37,12,3,12,3,3
"Ocupantes presentes (014)",121,86,101,36,12,39,11,3
"Choza o cabaña",,,,,,,,
"Hogares (016)",11,10,,,,,,1
"Ocupantes presentes (017)",28,23,,,,,,5
"Vivienda improvisada",,,,,,,,
"Hogares (019)",363,252,217,42,9,36,5,65
"Ocupantes presentes (020)",1055,731,702,139,26,129,15,171
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",25,16,13,3,,5,,6
"Ocupantes presentes (023)",51,36,35,6,,11,,7
"Otro tipo",,,,,,,,
"Hogares (025)",5,3,3,1,,1,1,1
"Ocupantes presentes (026)",8,5,6,3,,3,3,1
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",17588,13771,14898,7383,3618,9527,3639,1057
"Ocupantes presentes (029)",60848,48246,53725,27226,13550,35469,14075,2688
"Casa independiente",,,,,,,,
"Hogares (031)",15726,12278,13295,6306,2791,8293,2924,939
"Ocupantes presentes (032)",55249,43687,48742,23769,10814,31557,11653,2404
"Departamento en edificio",,,,,,,,
"Hogares (034)",1375,1158,1293,997,805,1157,696,37
"Ocupantes presentes (035)",4223,3591,4010,3194,2664,3650,2347,91
"Vivienda en quinta",,,,,,,,
"Hogares (037)",47,33,40,22,10,23,10,6
"Ocupantes presentes (038)",142,111,129,79,34,80,46,11
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",48,32,37,12,3,12,3,3
"Ocupantes presentes (041)",121,86,101,36,12,39,11,3
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",363,252,217,42,9,36,5,65
"Ocupantes presentes (047)",1055,731,702,139,26,129,15,171
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",24,15,13,3,,5,,6
"Ocupantes presentes (050)",50,35,35,6,,11,,7
"Otro tipo",,,,,,,,
"Hogares (052)",5,3,3,1,,1,1,1
"Ocupantes presentes (053)",8,5,6,3,,3,3,1
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",99,95,25,2,,1,,2
"Ocupantes presentes (056)",229,216,51,7,,4,,7
"Casa independiente",,,,,,,,
"Hogares (058)",87,84,25,2,,1,,1
"Ocupantes presentes (059)",200,192,51,7,,4,,2
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",11,10,,,,,,1
"Ocupantes presentes (071)",28,23,,,,,,5
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",1,1,,,,,,
"Ocupantes presentes (077)",1,1,,,,,,
"Otro tipo",,,,,,,,
