"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia OXAPAMPA (000)",32420,2509,37,13617,10597,1206,1464,816,2174
"Empleado (001)",4291,34,3,287,846,381,775,311,1654
"Obrero (002)",6265,398,12,2916,2502,167,114,89,67
"Trabajador independiente (003)",15070,1248,11,6920,5211,516,481,325,358
"Empleador o patrono (004)",585,38,,217,209,22,22,28,49
"Trabajador familiar no remunerado (005)",5420,721,10,2929,1520,87,58,54,41
"Trabajador del hogar (006)",789,70,1,348,309,33,14,9,5
"Hombres (008)",23696,1478,26,10508,8227,832,801,582,1242
"Empleado (009)",2271,10,,133,515,211,349,190,863
"Obrero (010)",5510,281,11,2537,2290,149,101,81,60
"Trabajador independiente (011)",12072,892,8,5792,4169,397,304,254,256
"Empleador o patrono (012)",495,35,,189,173,17,18,24,39
"Trabajador familiar no remunerado (013)",3178,249,7,1775,1011,52,27,33,24
"Trabajador del hogar (014)",170,11,,82,69,6,2,,
"Mujeres (016)",8724,1031,11,3109,2370,374,663,234,932
"Empleado (017)",2020,24,3,154,331,170,426,121,791
"Obrero (018)",755,117,1,379,212,18,13,8,7
"Trabajador independiente (019)",2998,356,3,1128,1042,119,177,71,102
"Empleador o patrono (020)",90,3,,28,36,5,4,4,10
"Trabajador familiar no remunerado (021)",2242,472,3,1154,509,35,31,21,17
"Trabajador del hogar (022)",619,59,1,266,240,27,12,9,5
,,,,,,,,,
"URBANA (024)",13208,376,10,3183,5336,873,1109,621,1700
"Empleado (025)",3362,26,2,222,702,296,580,251,1283
"Obrero (026)",2280,60,2,730,1173,116,89,65,45
"Trabajador independiente (027)",5881,200,2,1688,2709,365,376,244,297
"Empleador o patrono (028)",298,10,,72,119,17,18,20,42
"Trabajador familiar no remunerado (029)",914,50,3,308,408,50,33,34,28
"Trabajador del hogar (030)",473,30,1,163,225,29,13,7,5
"Hombres (032)",8756,166,5,2129,3878,587,598,432,961
"Empleado (033)",1798,7,,98,435,172,262,155,669
"Obrero (034)",2009,40,1,623,1062,105,78,60,40
"Trabajador independiente (035)",4204,93,2,1194,2025,270,229,185,206
"Empleador o patrono (036)",234,8,,58,92,13,14,16,33
"Trabajador familiar no remunerado (037)",449,15,2,138,229,23,13,16,13
"Trabajador del hogar (038)",62,3,,18,35,4,2,,
"Mujeres (040)",4452,210,5,1054,1458,286,511,189,739
"Empleado (041)",1564,19,2,124,267,124,318,96,614
"Obrero (042)",271,20,1,107,111,11,11,5,5
"Trabajador independiente (043)",1677,107,,494,684,95,147,59,91
"Empleador o patrono (044)",64,2,,14,27,4,4,4,9
"Trabajador familiar no remunerado (045)",465,35,1,170,179,27,20,18,15
"Trabajador del hogar (046)",411,27,1,145,190,25,11,7,5
,,,,,,,,,
"RURAL (048)",19212,2133,27,10434,5261,333,355,195,474
"Empleado (049)",929,8,1,65,144,85,195,60,371
"Obrero (050)",3985,338,10,2186,1329,51,25,24,22
"Trabajador independiente (051)",9189,1048,9,5232,2502,151,105,81,61
"Empleador o patrono (052)",287,28,,145,90,5,4,8,7
"Trabajador familiar no remunerado (053)",4506,671,7,2621,1112,37,25,20,13
"Trabajador del hogar (054)",316,40,,185,84,4,1,2,
"Hombres (056)",14940,1312,21,8379,4349,245,203,150,281
"Empleado (057)",473,3,,35,80,39,87,35,194
"Obrero (058)",3501,241,10,1914,1228,44,23,21,20
"Trabajador independiente (059)",7868,799,6,4598,2144,127,75,69,50
"Empleador o patrono (060)",261,27,,131,81,4,4,8,6
"Trabajador familiar no remunerado (061)",2729,234,5,1637,782,29,14,17,11
"Trabajador del hogar (062)",108,8,,64,34,2,,,
"Mujeres (064)",4272,821,6,2055,912,88,152,45,193
"Empleado (065)",456,5,1,30,64,46,108,25,177
"Obrero (066)",484,97,,272,101,7,2,3,2
"Trabajador independiente (067)",1321,249,3,634,358,24,30,12,11
"Empleador o patrono (068)",26,1,,14,9,1,,,1
"Trabajador familiar no remunerado (069)",1777,437,2,984,330,8,11,3,2
"Trabajador del hogar (070)",208,32,,121,50,2,1,2,
