"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia HUANCABAMBA (000)",2454,118,1214,668,345,109
"Sin nivel (001)",358,23,106,121,71,37
"Educación inicial (002)",1,,1,,,
"Primaria (003)",1300,85,578,350,221,66
"Secundaria (004)",552,10,387,120,33,2
"Superior no univ. incompleta (005)",57,,43,12,1,1
"Superior no univ. completa (006)",102,,62,29,8,3
"Superior univ. incompleta (007)",42,,18,19,5,
"Superior univ. completa (008)",42,,19,17,6,
"Hombres (010)",1984,64,915,592,318,95
"Sin nivel (011)",274,13,78,100,58,25
"Primaria (013)",1097,44,456,323,209,65
"Secundaria (014)",446,7,301,105,32,1
"Superior no univ. incompleta (015)",38,,26,10,1,1
"Superior no univ. completa (016)",70,,36,24,7,3
"Superior univ. incompleta (017)",33,,10,18,5,
"Superior univ. completa (018)",26,,8,12,6,
"Mujeres (020)",470,54,299,76,27,14
"Sin nivel (021)",84,10,28,21,13,12
"Educación inicial (022)",1,,1,,,
"Primaria (023)",203,41,122,27,12,1
"Secundaria (024)",106,3,86,15,1,1
"Superior no univ. incompleta (025)",19,,17,2,,
"Superior no univ. completa (026)",32,,26,5,1,
"Superior univ. incompleta (027)",9,,8,1,,
"Superior univ. completa (028)",16,,11,5,,
,,,,,,
"Area Urbana (030)",326,5,164,94,49,14
"Sin nivel (031)",21,,7,6,7,1
"Primaria (033)",84,4,16,30,22,12
"Secundaria (034)",102,1,60,30,10,1
"Superior no univ. incompleta (035)",33,,25,7,1,
"Superior no univ. completa (036)",45,,32,9,4,
"Superior univ. incompleta (037)",15,,11,4,,
"Superior univ. completa (038)",26,,13,8,5,
"Hombres (040)",233,3,103,71,44,12
"Sin nivel (041)",16,,5,4,7,
"Primaria (043)",73,2,13,28,18,12
"Secundaria (044)",78,1,45,22,10,
"Superior no univ. incompleta (045)",23,,17,5,1,
"Superior no univ. completa (046)",22,,15,4,3,
"Superior univ. incompleta (047)",8,,5,3,,
"Superior univ. completa (048)",13,,3,5,5,
"Mujeres (050)",93,2,61,23,5,2
"Sin nivel (051)",5,,2,2,,1
"Primaria (053)",11,2,3,2,4,
"Secundaria (054)",24,,15,8,,1
"Superior no univ. incompleta (055)",10,,8,2,,
"Superior no univ. completa (056)",23,,17,5,1,
"Superior univ. incompleta (057)",7,,6,1,,
"Superior univ. completa (058)",13,,10,3,,
,,,,,,
"Area Rural (060)",2128,113,1050,574,296,95
"Sin nivel (061)",337,23,99,115,64,36
"Educación inicial (062)",1,,1,,,
"Primaria (063)",1216,81,562,320,199,54
"Secundaria (064)",450,9,327,90,23,1
"Superior no univ. incompleta (065)",24,,18,5,,1
"Superior no univ. completa (066)",57,,30,20,4,3
"Superior univ. incompleta (067)",27,,7,15,5,
"Superior univ. completa (068)",16,,6,9,1,
"Hombres (070)",1751,61,812,521,274,83
"Sin nivel (071)",258,13,73,96,51,25
"Primaria (073)",1024,42,443,295,191,53
"Secundaria (074)",368,6,256,83,22,1
"Superior no univ. incompleta (075)",15,,9,5,,1
"Superior no univ. completa (076)",48,,21,20,4,3
"Superior univ. incompleta (077)",25,,5,15,5,
"Superior univ. completa (078)",13,,5,7,1,
"Mujeres (080)",377,52,238,53,22,12
"Sin nivel (081)",79,10,26,19,13,11
"Educación inicial (082)",1,,1,,,
"Primaria (083)",192,39,119,25,8,1
"Secundaria (084)",82,3,71,7,1,
"Superior no univ. incompleta (085)",9,,9,,,
"Superior no univ. completa (086)",9,,9,,,
"Superior univ. incompleta (087)",2,,2,,,
"Superior univ. completa (088)",3,,1,2,,
