"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CONTUMAZA (000)",8542,105,3163,2921,1014,385,155,41,8,,750
"Catolica (001)",6260,60,2252,2159,762,293,123,29,7,,575
"Cristiana / Evangelica (002)",1235,20,474,418,144,55,18,7,1,,98
"Otra (003)",469,10,155,173,59,27,7,3,,,35
"Ninguna (004)",578,15,282,171,49,10,7,2,,,42
,,,,,,,,,,,
"URBANA (006)",3841,33,1239,1313,537,224,99,26,5,,365
"Catolica (007)",3004,16,949,1038,423,175,83,17,4,,299
"Cristiana / Evangelica (008)",464,8,158,151,69,24,9,5,1,,39
"Otra (009)",261,5,84,89,34,22,7,3,,,17
"Ninguna (010)",112,4,48,35,11,3,,1,,,10
,,,,,,,,,,,
"RURAL (012)",4701,72,1924,1608,477,161,56,15,3,,385
"Catolica (013)",3256,44,1303,1121,339,118,40,12,3,,276
"Cristiana / Evangelica (014)",771,12,316,267,75,31,9,2,,,59
"Otra (015)",208,5,71,84,25,5,,,,,18
"Ninguna (016)",466,11,234,136,38,7,7,1,,,32
