"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CANDARAVE (000)",205,1,83,65,48,8
"Conviviente (001)",60,,20,28,12,
"Separado(a) (002)",1,,,1,,
"Casado(a) (003)",65,,3,29,29,4
"Viudo(a) (004)",6,,,,4,2
"Divorciado(a) (005)",2,,,1,,1
"Soltero(a) (006)",71,1,60,6,3,1
"Hombres (008)",168,1,68,52,40,7
"Conviviente (009)",49,,15,24,10,
"Casado(a) (011)",57,,3,24,27,3
"Viudo(a) (012)",5,,,,3,2
"Divorciado(a) (013)",2,,,1,,1
"Soltero(a) (014)",55,1,50,3,,1
"Mujeres (016)",37,,15,13,8,1
"Conviviente (017)",11,,5,4,2,
"Separado(a) (018)",1,,,1,,
"Casado(a) (019)",8,,,5,2,1
"Viudo(a) (020)",1,,,,1,
"Soltero(a) (022)",16,,10,3,3,
,,,,,,
"AREA URBANA (024)",164,1,60,55,43,5
"Conviviente (025)",47,,13,23,11,
"Separado(a) (026)",1,,,1,,
"Casado(a) (027)",54,,3,24,25,2
"Viudo(a) (028)",5,,,,4,1
"Divorciado(a) (029)",2,,,1,,1
"Soltero(a) (030)",55,1,44,6,3,1
"Hombres (032)",130,1,47,43,35,4
"Conviviente (033)",37,,9,19,9,
"Casado(a) (035)",47,,3,20,23,1
"Viudo(a) (036)",4,,,,3,1
"Divorciado(a) (037)",2,,,1,,1
"Soltero(a) (038)",40,1,35,3,,1
"Mujeres (040)",34,,13,12,8,1
"Conviviente (041)",10,,4,4,2,
"Separado(a) (042)",1,,,1,,
"Casado(a) (043)",7,,,4,2,1
"Viudo(a) (044)",1,,,,1,
"Soltero(a) (046)",15,,9,3,3,
,,,,,,
"AREA RURAL (048)",41,,23,10,5,3
"Conviviente (049)",13,,7,5,1,
"Casado(a) (051)",11,,,5,4,2
"Viudo(a) (052)",1,,,,,1
"Soltero(a) (054)",16,,16,,,
"Hombres (056)",38,,21,9,5,3
"Conviviente (057)",12,,6,5,1,
"Casado(a) (059)",10,,,4,4,2
"Viudo(a) (060)",1,,,,,1
"Soltero(a) (062)",15,,15,,,
"Mujeres (064)",3,,2,1,,
"Conviviente (065)",1,,1,,,
"Casado(a) (067)",1,,,1,,
"Soltero(a) (070)",1,,1,,,
