"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia YAULI (000)",77,72,5
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",28,27,1
"Casa pensión (003)",4,4,
"Hospital, clinica (004)",4,4,
"Cárcel, centro de readaptación social (005)",1,1,
"Otro (008)",28,24,4
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",12,12,
