"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia AYMARAES (000)",9224,6324,1366,391,1143
"Sin nivel (001)",1055,934,105,7,9
"Educación inicial (002)",7,6,,,1
"Primaria (003)",3039,2483,426,49,81
"Secundaria (004)",3348,2225,533,153,437
"Superior no univ. incompleta (005)",308,160,36,25,87
"Superior no univ. completa (006)",627,228,96,69,234
"Superior univ. incompleta (007)",241,122,30,21,68
"Superior univ. completa (008)",599,166,140,67,226
"De 06 a 14 años (010)",91,72,16,2,1
"Sin nivel (011)",3,3,,,
"Educación inicial (012)",1,1,,,
"Primaria (013)",49,39,8,1,1
"Secundaria (014)",38,29,8,1,
"De 15 a 29 años (020)",2434,1546,377,125,386
"Sin nivel (021)",32,27,5,,
"Educación inicial (022)",3,2,,,1
"Primaria (023)",388,302,63,11,12
"Secundaria (024)",1444,984,240,62,158
"Superior no univ. incompleta (025)",135,69,15,13,38
"Superior no univ. completa (026)",225,84,22,19,100
"Superior univ. incompleta (027)",80,43,10,8,19
"Superior univ. completa (028)",127,35,22,12,58
"De 30 a 44 años (030)",3142,1948,472,171,551
"Sin nivel (031)",177,156,16,2,3
"Educación inicial (032)",3,3,,,
"Primaria (033)",919,732,130,20,37
"Secundaria (034)",1174,742,163,65,204
"Superior no univ. incompleta (035)",137,69,17,9,42
"Superior no univ. completa (036)",313,113,60,33,107
"Superior univ. incompleta (037)",110,56,12,8,34
"Superior univ. completa (038)",309,77,74,34,124
"De 45 a 64 años (040)",2485,1822,381,87,195
"Sin nivel (041)",418,364,47,4,3
"Primaria (043)",1147,944,160,15,28
"Secundaria (044)",599,397,106,23,73
"Superior no univ. incompleta (045)",34,20,4,3,7
"Superior no univ. completa (046)",85,28,14,17,26
"Superior univ. incompleta (047)",49,22,7,5,15
"Superior univ. completa (048)",153,47,43,20,43
"De 65 y más años (050)",1072,936,120,6,10
"Sin nivel (051)",425,384,37,1,3
"Primaria (053)",536,466,65,2,3
"Secundaria (054)",93,73,16,2,2
"Superior no univ. incompleta (055)",2,2,,,
"Superior no univ. completa (056)",4,3,,,1
"Superior univ. incompleta (057)",2,1,1,,
"Superior univ. completa (058)",10,7,1,1,1
,,,,,
"URBANA (060)",4144,2797,753,196,398
