"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia PISCO (000)",135,126,9
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",47,47,
"Casa pensión (003)",2,2,
"Hospital, clinica (004)",4,4,
"Asilo (006)",1,1,
"Aldea infantil, orfelinato, etc (007)",1,1,
"Otro (008)",63,55,8
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",17,16,1
