"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CHACHAPOYAS (000)",19163,48340,43161,,772,89.3,1.6
"De 12 a 14 años (001)",1733,7,7,,1,100,14.3
"De 15 a 19 años (002)",2421,351,342,107,97.4,30.5,
"De 20 a 24 años (003)",2245,1689,1650,200,97.7,11.8,
"De 25 a 29 años (004)",1909,2846,2767,167,97.2,5.9,
"De 30 a 34 años (005)",1790,3912,3770,128,96.4,3.3,
"De 35 a 39 años (006)",1756,4957,4760,106,96,2.1,
"De 40 a 44 años (007)",1576,5631,5278,53,93.7,0.9,
"De 45 a 49 años (008)",1234,4868,4488,10,92.2,0.2,
"De 50 y más años (009)",4499,24079,20099,,83.5,,
"PEA (010)",6821,16918,15422,216,91.2,1.3,
"De 12 a 14 años (011)",97,3,3,,100,,
"De 15 a 19 años (012)",478,82,82,17,100,20.7,
"De 20 a 24 años (013)",763,457,447,41,97.8,9,
"De 25 a 29 años (014)",877,1019,995,44,97.6,4.3,
"De 30 a 34 años (015)",890,1621,1565,41,96.5,2.5,
"De 35 a 39 años (016)",906,2246,2164,47,96.3,2.1,
"De 40 a 44 años (017)",833,2601,2446,22,94,0.8,
"De 45 a 49 años (018)",614,2159,2005,4,92.9,0.2,
"De 50 y más años (019)",1363,6730,5715,,84.9,,
"Ocupada (020)",6572,16671,15189,206,91.1,1.2,
"De 12 a 14 años (021)",91,3,3,,100,,
"De 15 a 19 años (022)",438,74,74,15,100,20.3,
"De 20 a 24 años (023)",694,432,423,36,97.9,8.3,
"De 25 a 29 años (024)",824,980,957,42,97.7,4.3,
"De 30 a 34 años (025)",861,1570,1515,41,96.5,2.6,
"De 35 a 39 años (026)",885,2212,2131,46,96.3,2.1,
"De 40 a 44 años (027)",824,2582,2427,22,94,0.9,
"De 45 a 49 años (028)",604,2133,1982,4,92.9,0.2,
"De 50 y más años (029)",1351,6685,5677,,84.9,,
"Desocupada (030)",249,247,233,10,94.3,4,
"De 12 a 14 años (031)",6,,,,,,
"De 15 a 19 años (032)",40,8,8,2,100,25,
"De 20 a 24 años (033)",69,25,24,5,96,20,
"De 25 a 29 años (034)",53,39,38,2,97.4,5.1,
"De 30 a 34 años (035)",29,51,50,,98,,
"De 35 a 39 años (036)",21,34,33,1,97.1,2.9,
