"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CASTROVIRREYNA (000)",4941,54,1932,1648,536,169,73,38,1,,490
"Sin Nivel (001)",1058,15,405,344,112,45,21,16,1,,99
"Educación Inicial (002)",5,,2,1,2,,,,,,
"Primaria (003)",2071,28,921,690,200,51,28,12,,,141
"Secundaria (004)",1248,8,508,424,99,33,11,7,,,158
"Sup. no Univ. Incompleta (005)",117,1,37,42,20,5,,,,,12
"Sup. no Univ. Completa (006)",247,1,43,93,51,19,3,,,,37
"Sup. Univ. Incompleta (007)",36,,6,12,4,1,2,1,,,10
"Sup. Univ. Completa (008)",159,1,10,42,48,15,8,2,,,33
,,,,,,,,,,,
"URBANA (010)",1553,12,529,509,203,67,22,14,,,197
"Sin Nivel (011)",172,4,62,46,23,9,,5,,,23
"Primaria (013)",496,4,212,164,49,17,8,5,,,37
"Secundaria (014)",481,2,183,167,38,13,6,3,,,69
"Sup. no Univ. Incompleta (015)",71,,23,25,13,1,,,,,9
"Sup. no Univ. Completa (016)",189,1,35,69,43,14,2,,,,25
"Sup. Univ. Incompleta (017)",20,,4,6,2,,1,,,,7
"Sup. Univ. Completa (018)",124,1,10,32,35,13,5,1,,,27
,,,,,,,,,,,
"RURAL (020)",3388,42,1403,1139,333,102,51,24,1,,293
"Sin Nivel (021)",886,11,343,298,89,36,21,11,1,,76
"Educación Inicial (022)",5,,2,1,2,,,,,,
"Primaria (023)",1575,24,709,526,151,34,20,7,,,104
"Secundaria (024)",767,6,325,257,61,20,5,4,,,89
"Sup. no Univ. Incompleta (025)",46,1,14,17,7,4,,,,,3
"Sup. no Univ. Completa (026)",58,,8,24,8,5,1,,,,12
"Sup. Univ. Incompleta (027)",16,,2,6,2,1,1,1,,,3
"Sup. Univ. Completa (028)",35,,,10,13,2,3,1,,,6
