"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CHUCUITO (000)",30747,180,9792,11016,3699,1175,476,189,33,,4187
"Sin Nivel (001)",6135,57,2005,2180,774,263,141,81,14,,620
"Educación Inicial (002)",25,,7,10,2,,,,,,6
"Primaria (003)",12516,90,4445,4454,1491,491,217,82,16,,1230
"Secundaria (004)",9966,29,3108,3708,1044,286,86,17,2,,1686
"Sup. no Univ. Incompleta (005)",609,2,93,193,89,28,5,,,,199
"Sup. no Univ. Completa (006)",718,2,71,262,139,43,14,5,1,,181
"Sup. Univ. Incompleta (007)",239,,32,66,35,8,2,1,,,95
"Sup. Univ. Completa (008)",539,,31,143,125,56,11,3,,,170
,,,,,,,,,,,
"URBANA (010)",8215,42,2294,2693,1126,385,149,55,9,,1462
"Sin Nivel (011)",939,5,292,262,128,49,26,17,2,,158
"Educación Inicial (012)",8,,2,2,2,,,,,,2
"Primaria (013)",2691,27,879,858,354,139,61,24,6,,343
"Secundaria (014)",3237,8,963,1118,380,112,44,7,,,605
"Sup. no Univ. Incompleta (015)",362,2,60,125,56,18,3,,,,98
"Sup. no Univ. Completa (016)",463,,50,173,94,30,8,4,1,,103
"Sup. Univ. Incompleta (017)",146,,21,46,22,4,1,,,,52
"Sup. Univ. Completa (018)",369,,27,109,90,33,6,3,,,101
,,,,,,,,,,,
"RURAL (020)",22532,138,7498,8323,2573,790,327,134,24,,2725
"Sin Nivel (021)",5196,52,1713,1918,646,214,115,64,12,,462
"Educación Inicial (022)",17,,5,8,,,,,,,4
"Primaria (023)",9825,63,3566,3596,1137,352,156,58,10,,887
"Secundaria (024)",6729,21,2145,2590,664,174,42,10,2,,1081
"Sup. no Univ. Incompleta (025)",247,,33,68,33,10,2,,,,101
"Sup. no Univ. Completa (026)",255,2,21,89,45,13,6,1,,,78
"Sup. Univ. Incompleta (027)",93,,11,20,13,4,1,1,,,43
"Sup. Univ. Completa (028)",170,,4,34,35,23,5,,,,69
