"CUADRO Nº 15: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORÍA DE OCUPACIÓN",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CATEGORIA DE OCUPACIÓN",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CAMANA (000)",22182,885,27,4422,8528,1941,2940,1051,2388
"Empleado (001)",4559,54,3,232,1095,476,1202,298,1199
"Obrero (002)",6656,389,11,2001,2872,505,486,180,212
"Trabajador independiente (003)",8755,340,7,1726,3598,755,1049,474,806
"Empleador o patrono (004)",943,32,,180,412,87,86,47,99
"Trabajador familiar no remunerado (005)",811,47,3,177,329,76,88,32,59
"Trabajador del hogar (006)",458,23,3,106,222,42,29,20,13
"Hombres (008)",14895,345,14,2828,6468,1369,1698,771,1402
"Empleado (009)",2342,7,3,119,692,270,515,195,541
"Obrero (010)",5110,169,4,1378,2408,432,403,144,172
"Trabajador independiente (011)",6233,136,4,1096,2804,556,688,365,584
"Empleador o patrono (012)",778,20,,145,357,71,63,44,78
"Trabajador familiar no remunerado (013)",385,9,2,77,186,36,28,20,27
"Trabajador del hogar (014)",47,4,1,13,21,4,1,3,
"Mujeres (016)",7287,540,13,1594,2060,572,1242,280,986
"Empleado (017)",2217,47,,113,403,206,687,103,658
"Obrero (018)",1546,220,7,623,464,73,83,36,40
"Trabajador independiente (019)",2522,204,3,630,794,199,361,109,222
"Empleador o patrono (020)",165,12,,35,55,16,23,3,21
"Trabajador familiar no remunerado (021)",426,38,1,100,143,40,60,12,32
"Trabajador del hogar (022)",411,19,2,93,201,38,28,17,13
,,,,,,,,,
"URBANA (024)",17888,648,21,3436,6403,1641,2605,899,2235
"Empleado (025)",4297,48,3,209,991,447,1143,288,1168
"Obrero (026)",5504,286,8,1620,2371,431,430,162,196
"Trabajador independiente (027)",6361,235,6,1249,2363,593,850,355,710
"Empleador o patrono (028)",555,22,,99,171,60,71,43,89
"Trabajador familiar no remunerado (029)",738,36,3,160,296,70,83,31,59
"Trabajador del hogar (030)",433,21,1,99,211,40,28,20,13
"Hombres (032)",11415,207,13,2064,4650,1120,1451,632,1278
"Empleado (033)",2211,5,3,105,635,257,492,188,526
"Obrero (034)",4185,109,3,1084,1974,371,359,128,157
"Trabajador independiente (035)",4194,71,4,717,1714,410,524,254,500
"Empleador o patrono (036)",441,15,,80,140,48,50,40,68
"Trabajador familiar no remunerado (037)",342,4,2,67,168,30,25,19,27
"Trabajador del hogar (038)",42,3,1,11,19,4,1,3,
"Mujeres (040)",6473,441,8,1372,1753,521,1154,267,957
"Empleado (041)",2086,43,,104,356,190,651,100,642
"Obrero (042)",1319,177,5,536,397,60,71,34,39
"Trabajador independiente (043)",2167,164,2,532,649,183,326,101,210
"Empleador o patrono (044)",114,7,,19,31,12,21,3,21
"Trabajador familiar no remunerado (045)",396,32,1,93,128,40,58,12,32
"Trabajador del hogar (046)",391,18,,88,192,36,27,17,13
,,,,,,,,,
"RURAL (048)",4294,237,6,986,2125,300,335,152,153
"Empleado (049)",262,6,,23,104,29,59,10,31
"Obrero (050)",1152,103,3,381,501,74,56,18,16
"Trabajador independiente (051)",2394,105,1,477,1235,162,199,119,96
"Empleador o patrono (052)",388,10,,81,241,27,15,4,10
"Trabajador familiar no remunerado (053)",73,11,,17,33,6,5,1,
"Trabajador del hogar (054)",25,2,2,7,11,2,1,,
"Hombres (056)",3480,138,1,764,1818,249,247,139,124
"Empleado (057)",131,2,,14,57,13,23,7,15
"Obrero (058)",925,60,1,294,434,61,44,16,15
"Trabajador independiente (059)",2039,65,,379,1090,146,164,111,84
"Empleador o patrono (060)",337,5,,65,217,23,13,4,10
"Trabajador familiar no remunerado (061)",43,5,,10,18,6,3,1,
"Trabajador del hogar (062)",5,1,,2,2,,,,
"Mujeres (064)",814,99,5,222,307,51,88,13,29
"Empleado (065)",131,4,,9,47,16,36,3,16
"Obrero (066)",227,43,2,87,67,13,12,2,1
"Trabajador independiente (067)",355,40,1,98,145,16,35,8,12
"Empleador o patrono (068)",51,5,,16,24,4,2,,
"Trabajador familiar no remunerado (069)",30,6,,7,15,,2,,
"Trabajador del hogar (070)",20,1,2,5,9,2,1,,
