"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia JORGE BASADRE (000)",2359,2218,7,575,662,422,350,147,46,9,141,6103
"De 12 a 14 años (001)",2,1,,1,,,,,,,1,1
"De 15 a 19 años (002)",46,40,1,37,2,,,,,,6,41
"De 20 a 24 años (003)",242,202,,154,41,4,3,,,,40,260
"De 25 a 29 años (004)",346,287,1,143,108,30,4,,1,,59,474
"De 30 a 34 años (005)",332,312,1,88,139,61,21,2,,,20,653
"De 35 a 39 años (006)",304,300,1,42,126,89,37,4,1,,4,748
"De 40 a 44 años (007)",256,253,1,43,85,66,52,5,1,,3,673
"De 45 a 49 años (008)",215,213,,22,62,55,57,15,2,,2,670
"De 50 y más años (009)",616,610,2,45,99,117,176,121,41,9,6,2583
"PEA (010)",1291,1197,4,330,344,212,195,80,27,5,94,3296
"De 15 a 19 años (012)",18,18,,17,1,,,,,,,19
"De 20 a 24 años (013)",125,98,,77,16,3,2,,,,27,126
"De 25 a 29 años (014)",211,166,1,84,60,17,3,,1,,45,276
"De 30 a 34 años (015)",178,163,,55,67,30,10,1,,,15,329
"De 35 a 39 años (016)",179,176,1,30,72,46,25,1,1,,3,431
"De 40 a 44 años (017)",139,137,1,28,43,30,32,3,,,2,361
"De 45 a 49 años (018)",127,125,,14,33,26,41,11,,,2,407
"De 50 y más años (019)",314,314,1,25,52,60,82,64,25,5,,1347
"Ocupada (020)",1226,1141,4,310,327,203,187,80,25,5,85,3164
"De 15 a 19 años (022)",17,17,,16,1,,,,,,,18
"De 20 a 24 años (023)",114,90,,70,16,2,2,,,,24,116
"De 25 a 29 años (024)",195,155,1,79,55,16,3,,1,,40,258
"De 30 a 34 años (025)",163,149,,50,60,29,9,1,,,14,303
