"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia CHUPACA (000)",23159,19793,3366
"De 3 a 5 años (001)",3120,282,2838
"De 6 a 11 años (002)",6499,6074,425
"De 12 a 16 años (003)",5936,5906,30
"De 17 a 24 años (004)",7604,7531,73
"Hombres (005)",11783,10083,1700
"De 3 a 5 años (006)",1585,148,1437
"De 6 a 11 años (007)",3299,3084,215
"De 12 a 16 años (008)",3007,2990,17
"De 17 a 24 años (009)",3892,3861,31
"Mujeres (010)",11376,9710,1666
"De 3 a 5 años (011)",1535,134,1401
"De 6 a 11 años (012)",3200,2990,210
"De 12 a 16 años (013)",2929,2916,13
"De 17 a 24 años (014)",3712,3670,42
,,,
"URBANA (015)",13695,11863,1832
"De 3 a 5 años (016)",1756,182,1574
"De 6 a 11 años (017)",3746,3542,204
"De 12 a 16 años (018)",3462,3447,15
"De 17 a 24 años (019)",4731,4692,39
"Hombres (020)",6992,6057,935
"De 3 a 5 años (021)",895,96,799
"De 6 a 11 años (022)",1949,1841,108
"De 12 a 16 años (023)",1761,1750,11
"De 17 a 24 años (024)",2387,2370,17
"Mujeres (025)",6703,5806,897
"De 3 a 5 años (026)",861,86,775
"De 6 a 11 años (027)",1797,1701,96
"De 12 a 16 años (028)",1701,1697,4
"De 17 a 24 años (029)",2344,2322,22
,,,
"RURAL (030)",9464,7930,1534
"De 3 a 5 años (031)",1364,100,1264
"De 6 a 11 años (032)",2753,2532,221
"De 12 a 16 años (033)",2474,2459,15
"De 17 a 24 años (034)",2873,2839,34
"Hombres (035)",4791,4026,765
"De 3 a 5 años (036)",690,52,638
"De 6 a 11 años (037)",1350,1243,107
"De 12 a 16 años (038)",1246,1240,6
"De 17 a 24 años (039)",1505,1491,14
"Mujeres (040)",4673,3904,769
"De 3 a 5 años (041)",674,48,626
"De 6 a 11 años (042)",1403,1289,114
"De 12 a 16 años (043)",1228,1219,9
"De 17 a 24 años (044)",1368,1348,20
