"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia MAYNAS (000)",124453,2693,54612,33176,10933,4191,1971,562,56,,16259
"Sin Nivel (001)",5715,420,2951,936,260,130,118,51,4,,845
"Educación Inicial (002)",98,5,57,10,3,1,1,,,,21
"Primaria (003)",42794,1575,24184,8980,1983,907,647,257,19,,4242
"Secundaria (004)",51929,633,23338,15386,3885,1358,600,125,16,,6588
"Sup. no Univ. Incompleta (005)",4998,22,1208,1830,662,186,71,15,,,1004
"Sup. no Univ. Completa (006)",7206,18,1255,2455,1576,565,168,37,4,,1128
"Sup. Univ. Incompleta (007)",3709,9,657,1228,605,182,79,9,2,,938
"Sup. Univ. Completa (008)",8004,11,962,2351,1959,862,287,68,11,,1493
,,,,,,,,,,,
"URBANA (010)",103192,1711,41766,29122,10145,3893,1811,514,49,,14181
"Sin Nivel (011)",3043,199,1466,490,139,79,77,38,4,,551
"Educación Inicial (012)",85,4,53,9,3,1,1,,,,14
"Primaria (013)",29486,915,15667,6743,1570,753,555,226,13,,3044
"Secundaria (014)",47236,535,20638,14224,3730,1303,580,124,15,,6087
"Sup. no Univ. Incompleta (015)",4886,22,1173,1780,652,183,70,15,,,991
"Sup. no Univ. Completa (016)",7014,17,1206,2390,1537,553,168,35,4,,1104
"Sup. Univ. Incompleta (017)",3656,9,648,1206,598,179,78,9,2,,927
"Sup. Univ. Completa (018)",7786,10,915,2280,1916,842,282,67,11,,1463
,,,,,,,,,,,
"RURAL (020)",21261,982,12846,4054,788,298,160,48,7,,2078
"Sin Nivel (021)",2672,221,1485,446,121,51,41,13,,,294
"Educación Inicial (022)",13,1,4,1,,,,,,,7
"Primaria (023)",13308,660,8517,2237,413,154,92,31,6,,1198
"Secundaria (024)",4693,98,2700,1162,155,55,20,1,1,,501
"Sup. no Univ. Incompleta (025)",112,,35,50,10,3,1,,,,13
"Sup. no Univ. Completa (026)",192,1,49,65,39,12,,2,,,24
"Sup. Univ. Incompleta (027)",53,,9,22,7,3,1,,,,11
"Sup. Univ. Completa (028)",218,1,47,71,43,20,5,1,,,30
