"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CASTROVIRREYNA (000)",4941,54,1932,1648,536,169,73,38,1,,490
"Catolica (001)",4059,40,1533,1374,450,151,67,32,1,,411
"Cristiana / Evangelica (002)",834,14,379,261,84,17,6,6,,,67
"Otra (003)",18,,8,3,1,,,,,,6
"Ninguna (004)",30,,12,10,1,1,,,,,6
,,,,,,,,,,,
"URBANA (006)",1553,12,529,509,203,67,22,14,,,197
"Catolica (007)",1314,8,433,432,176,63,22,11,,,169
"Cristiana / Evangelica (008)",216,4,88,72,25,3,,3,,,21
"Otra (009)",14,,4,3,1,,,,,,6
"Ninguna (010)",9,,4,2,1,1,,,,,1
,,,,,,,,,,,
"RURAL (012)",3388,42,1403,1139,333,102,51,24,1,,293
"Catolica (013)",2745,32,1100,942,274,88,45,21,1,,242
"Cristiana / Evangelica (014)",618,10,291,189,59,14,6,3,,,46
"Otra (015)",4,,4,,,,,,,,
"Ninguna (016)",21,,8,8,,,,,,,5
