"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia HUANCABAMBA (000)",124298,52543,5612,795,65407
"Menos de 1 año (001)",3046,2392,87,10,557
"De 1 a 14 años (002)",46081,35435,1893,116,8656
"De 15 a 29 años (003)",29102,8130,883,212,19889
"De 30 a 44 años (004)",20371,3781,1493,226,14883
"De 45 a 64 años (005)",17358,2260,991,156,13966
"De 65 y mas años (006)",8340,545,265,75,7456
"Hombres (008)",62396,25255,2859,466,33850
"Menos de 1 año (009)",1540,1226,41,5,268
"De 1 a 14 años (010)",23480,18034,1007,55,4395
"De 15 a 29 años (011)",14773,3454,419,132,10772
"De 30 a 44 años (012)",9998,1306,711,136,7851
"De 45 a 64 años (013)",8546,975,545,101,6937
"De 65 y mas años (014)",4059,260,136,37,3627
"Mujeres (016)",61902,27288,2753,329,31557
"Menos de 1 año (017)",1506,1166,46,5,289
"De 1 a 14 años (018)",22601,17401,886,61,4261
"De 15 a 29 años (019)",14329,4676,464,80,9117
"De 30 a 44 años (020)",10373,2475,782,90,7032
"De 45 a 64 años (021)",8812,1285,446,55,7029
"De 65 y mas años (022)",4281,285,129,38,3829
,,,,,
"URBANA (024)",15358,3360,3323,497,8204
"Menos de 1 año (025)",247,126,44,8,69
"De 1 a 14 años (026)",4587,2203,1065,73,1249
"De 15 a 29 años (027)",3906,648,449,138,2676
"De 30 a 44 años (028)",3210,215,921,139,1944
"De 45 a 64 años (029)",2351,120,638,92,1510
"De 65 y mas años (030)",1057,48,206,47,756
"Hombres (032)",7598,1654,1623,290,4049
"Menos de 1 año (033)",128,67,24,4,33
"De 1 a 14 años (034)",2412,1147,573,32,663
"De 15 a 29 años (035)",1865,298,198,81,1290
"De 30 a 44 años (036)",1527,77,409,90,956
"De 45 a 64 años (037)",1150,46,314,60,738
"De 65 y mas años (038)",516,19,105,23,369
"Mujeres (040)",7760,1706,1700,207,4155
"Menos de 1 año (041)",119,59,20,4,36
"De 1 a 14 años (042)",2175,1056,492,41,586
"De 15 a 29 años (043)",2041,350,251,57,1386
"De 30 a 44 años (044)",1683,138,512,49,988
"De 45 a 64 años (045)",1201,74,324,32,772
"De 65 y mas años (046)",541,29,101,24,387
,,,,,
"RURAL (048)",108940,49183,2289,298,57203
"Menos de 1 año (049)",2799,2266,43,2,488
"De 1 a 14 años (050)",41494,33232,828,43,7407
"De 15 a 29 años (051)",25196,7482,434,74,17213
"De 30 a 44 años (052)",17161,3566,572,87,12939
"De 45 a 64 años (053)",15007,2140,353,64,12456
"De 65 y mas años (054)",7283,497,59,28,6700
"Hombres (056)",54798,23601,1236,176,29801
"Menos de 1 año (057)",1412,1159,17,1,235
"De 1 a 14 años (058)",21068,16887,434,23,3732
"De 15 a 29 años (059)",12908,3156,221,51,9482
"De 30 a 44 años (060)",8471,1229,302,46,6895
"De 45 a 64 años (061)",7396,929,231,41,6199
"De 65 y mas años (062)",3543,241,31,14,3258
"Mujeres (064)",54142,25582,1053,122,27402
"Menos de 1 año (065)",1387,1107,26,1,253
"De 1 a 14 años (066)",20426,16345,394,20,3675
"De 15 a 29 años (067)",12288,4326,213,23,7731
"De 30 a 44 años (068)",8690,2337,270,41,6044
"De 45 a 64 años (069)",7611,1211,122,23,6257
"De 65 y mas años (070)",3740,256,28,14,3442
