"CUADRO Nº 11: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR TIPO DE ABASTECIMIENTO DE AGUA POTABLE, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, DISPONIBILIDAD DE AGUA TODOS LOS DÍAS DE LA SEMANA, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"TIPO DE ABASTECIMIENTO DE AGUA POTABLE",,
,,"RED PÚBLICA DENTRO DE LA VIVIENDA (AGUA POTABLE)","RED PÚBLICA FUERA DE LA VIVIENDA PERO DENTRO DE LA EDIFICACIÓN (AGUA POTABLE)","PILÓN DE USO PÚBLICO (AGUA POTABLE)"
,,,,
"Provincia CANAS",,,,
"Viviendas particulares (001)",3319,1153,1835,331
"Ocupantes presentes (002)",12587,4505,6734,1348
"Casa independiente",,,,
"Viviendas particulares (004)",3111,1139,1647,325
"Ocupantes presentes (005)",12003,4473,6218,1312
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (010)",3,1,2,
"Ocupantes presentes (011)",7,3,4,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (013)",196,12,184,
"Ocupantes presentes (014)",533,28,505,
"Choza o cabaña",,,,
"Viviendas particulares (016)",6,,,6
"Ocupantes presentes (017)",36,,,36
"Vivienda improvisada",,,,
"Viviendas particulares (019)",1,,1,
"Ocupantes presentes (020)",1,,1,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (022)",2,1,1,
"Ocupantes presentes (023)",7,1,6,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (028)",3081,1104,1691,286
"Ocupantes presentes (029)",11656,4345,6169,1142
"Casa independiente",,,,
"Viviendas particulares (031)",2880,1090,1510,280
"Ocupantes presentes (032)",11101,4313,5682,1106
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (037)",3,1,2,
"Ocupantes presentes (038)",7,3,4,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (040)",189,12,177,
"Ocupantes presentes (041)",504,28,476,
"Choza o cabaña",,,,
"Viviendas particulares (043)",6,,,6
"Ocupantes presentes (044)",36,,,36
"Vivienda improvisada",,,,
"Viviendas particulares (046)",1,,1,
"Ocupantes presentes (047)",1,,1,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (049)",2,1,1,
"Ocupantes presentes (050)",7,1,6,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (055)",238,49,144,45
"Ocupantes presentes (056)",931,160,565,206
"Casa independiente",,,,
"Viviendas particulares (058)",231,49,137,45
"Ocupantes presentes (059)",902,160,536,206
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (067)",7,,7,
"Ocupantes presentes (068)",29,,29,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
URBANA,,,,
"Viviendas particulares (109)",1472,448,1017,7
"Ocupantes presentes (110)",5102,1584,3494,24
"Casa independiente",,,,
"Viviendas particulares (112)",1270,434,829,7
"Ocupantes presentes (113)",4554,1552,2978,24
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (118)",3,1,2,
"Ocupantes presentes (119)",7,3,4,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (121)",196,12,184,
"Ocupantes presentes (122)",533,28,505,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (127)",1,,1,
"Ocupantes presentes (128)",1,,1,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (130)",2,1,1,
"Ocupantes presentes (131)",7,1,6,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (136)",1369,415,948,6
"Ocupantes presentes (137)",4746,1485,3242,19
"Casa independiente",,,,
"Viviendas particulares (139)",1174,401,767,6
"Ocupantes presentes (140)",4227,1453,2755,19
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Viviendas particulares (145)",3,1,2,
"Ocupantes presentes (146)",7,3,4,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (148)",189,12,177,
"Ocupantes presentes (149)",504,28,476,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Viviendas particulares (154)",1,,1,
"Ocupantes presentes (155)",1,,1,
"Local no dest.para hab. humana",,,,
"Viviendas particulares (157)",2,1,1,
"Ocupantes presentes (158)",7,1,6,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (163)",103,33,69,1
"Ocupantes presentes (164)",356,99,252,5
"Casa independiente",,,,
"Viviendas particulares (166)",96,33,62,1
"Ocupantes presentes (167)",327,99,223,5
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Viviendas particulares (175)",7,,7,
"Ocupantes presentes (176)",29,,29,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
,,,,
RURAL,,,,
"Viviendas particulares (217)",1847,705,818,324
"Ocupantes presentes (218)",7485,2921,3240,1324
"Casa independiente",,,,
"Viviendas particulares (220)",1841,705,818,318
"Ocupantes presentes (221)",7449,2921,3240,1288
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (232)",6,,,6
"Ocupantes presentes (233)",36,,,36
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
Si,,,,
"Viviendas particulares (244)",1712,689,743,280
"Ocupantes presentes (245)",6910,2860,2927,1123
"Casa independiente",,,,
"Viviendas particulares (247)",1706,689,743,274
"Ocupantes presentes (248)",6874,2860,2927,1087
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Viviendas particulares (259)",6,,,6
"Ocupantes presentes (260)",36,,,36
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
No,,,,
"Viviendas particulares (271)",135,16,75,44
"Ocupantes presentes (272)",575,61,313,201
"Casa independiente",,,,
"Viviendas particulares (274)",135,16,75,44
"Ocupantes presentes (275)",575,61,313,201
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
"No especificado",,,,
"Casa independiente",,,,
"Departamento en edificio",,,,
"Vivienda en quinta",,,,
"Vivienda en casa de vecindad",,,,
"Choza o cabaña",,,,
"Vivienda improvisada",,,,
"Local no dest.para hab. humana",,,,
"Otro tipo",,,,
