"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia PUNO (000)",97848,84936,12912
"De 3 a 5 años (001)",12266,1195,11071
"De 6 a 11 años (002)",27017,25438,1579
"De 12 a 16 años (003)",23832,23749,83
"De 17 a 24 años (004)",34733,34554,179
"Hombres (005)",49881,43327,6554
"De 3 a 5 años (006)",6271,599,5672
"De 6 a 11 años (007)",13989,13209,780
"De 12 a 16 años (008)",12279,12243,36
"De 17 a 24 años (009)",17342,17276,66
"Mujeres (010)",47967,41609,6358
"De 3 a 5 años (011)",5995,596,5399
"De 6 a 11 años (012)",13028,12229,799
"De 12 a 16 años (013)",11553,11506,47
"De 17 a 24 años (014)",17391,17278,113
,,,
"URBANA (015)",59755,52663,7092
"De 3 a 5 años (016)",6998,781,6217
"De 6 a 11 años (017)",15801,15005,796
"De 12 a 16 años (018)",14158,14127,31
"De 17 a 24 años (019)",22798,22750,48
"Hombres (020)",30318,26758,3560
"De 3 a 5 años (021)",3526,401,3125
"De 6 a 11 años (022)",8127,7726,401
"De 12 a 16 años (023)",7218,7207,11
"De 17 a 24 años (024)",11447,11424,23
"Mujeres (025)",29437,25905,3532
"De 3 a 5 años (026)",3472,380,3092
"De 6 a 11 años (027)",7674,7279,395
"De 12 a 16 años (028)",6940,6920,20
"De 17 a 24 años (029)",11351,11326,25
,,,
"RURAL (030)",38093,32273,5820
"De 3 a 5 años (031)",5268,414,4854
"De 6 a 11 años (032)",11216,10433,783
"De 12 a 16 años (033)",9674,9622,52
"De 17 a 24 años (034)",11935,11804,131
"Hombres (035)",19563,16569,2994
"De 3 a 5 años (036)",2745,198,2547
"De 6 a 11 años (037)",5862,5483,379
"De 12 a 16 años (038)",5061,5036,25
"De 17 a 24 años (039)",5895,5852,43
"Mujeres (040)",18530,15704,2826
"De 3 a 5 años (041)",2523,216,2307
"De 6 a 11 años (042)",5354,4950,404
"De 12 a 16 años (043)",4613,4586,27
"De 17 a 24 años (044)",6040,5952,88
