"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia LUCANAS (000)",61731,2809,14353,10797,8710,7661,5824,4548,7029
"Quechua (001)",26153,594,3610,3261,3376,3784,3269,3071,5188
"Aymara (002)",152,2,4,29,41,31,26,7,12
"Ashaninca (003)",7,,1,3,,1,1,1,
"Otra lengua nativa (004)",49,1,16,11,7,3,6,2,3
"Castellano (005)",35282,2204,10699,7475,5276,3826,2517,1464,1821
"Idioma extranjero (006)",10,,,1,3,6,,,
"Es sordomudo/a (007)",78,8,23,17,7,10,5,3,5
"Hombres (009)",31749,1444,7456,5659,4555,3973,3000,2350,3312
"Quechua (010)",12745,308,1866,1690,1698,1867,1557,1483,2276
"Aymara (011)",85,1,1,16,27,14,18,4,4
"Ashaninca (012)",6,,1,2,,1,1,1,
"Otra lengua nativa (013)",33,1,8,9,4,2,6,2,1
"Castellano (014)",18820,1129,5563,3929,2818,2078,1416,858,1029
"Idioma extranjero (015)",6,,,,2,4,,,
"Es sordomudo/a (016)",54,5,17,13,6,7,2,2,2
"Mujeres (018)",29982,1365,6897,5138,4155,3688,2824,2198,3717
"Quechua (019)",13408,286,1744,1571,1678,1917,1712,1588,2912
"Aymara (020)",67,1,3,13,14,17,8,3,8
"Ashaninca (021)",1,,,1,,,,,
"Otra lengua nativa (022)",16,,8,2,3,1,,,2
"Castellano (023)",16462,1075,5136,3546,2458,1748,1101,606,792
"Idioma extranjero (024)",4,,,1,1,2,,,
"Es sordomudo/a (025)",24,3,6,4,1,3,3,1,3
,,,,,,,,,
"URBANA (027)",36331,1506,8483,6538,5113,4647,3360,2601,4083
"Quechua (028)",15273,219,1570,1821,2054,2435,2028,1889,3257
"Aymara (029)",68,1,1,8,12,15,18,4,9
"Ashaninca (030)",5,,1,1,,1,1,1,
"Otra lengua nativa (031)",45,1,15,11,6,3,5,1,3
"Castellano (032)",20906,1283,6887,4690,3038,2182,1308,705,813
"Idioma extranjero (033)",10,,,1,3,6,,,
"Es sordomudo/a (034)",24,2,9,6,,5,,1,1
"Hombres (036)",18056,769,4379,3319,2492,2292,1681,1304,1820
"Quechua (037)",7270,98,817,944,987,1166,963,906,1389
"Aymara (038)",33,1,1,5,6,5,11,1,3
"Ashaninca (039)",5,,1,1,,1,1,1,
"Otra lengua nativa (040)",30,1,8,9,3,2,5,1,1
"Castellano (041)",10694,668,3545,2355,1494,1110,701,394,427
"Idioma extranjero (042)",6,,,,2,4,,,
"Es sordomudo/a (043)",18,1,7,5,,4,,1,
"Mujeres (045)",18275,737,4104,3219,2621,2355,1679,1297,2263
"Quechua (046)",8003,121,753,877,1067,1269,1065,983,1868
"Aymara (047)",35,,,3,6,10,7,3,6
"Otra lengua nativa (049)",15,,7,2,3,1,,,2
"Castellano (050)",10212,615,3342,2335,1544,1072,607,311,386
"Idioma extranjero (051)",4,,,1,1,2,,,
"Es sordomudo/a (052)",6,1,2,1,,1,,,1
,,,,,,,,,
"RURAL (054)",25400,1303,5870,4259,3597,3014,2464,1947,2946
"Quechua (055)",10880,375,2040,1440,1322,1349,1241,1182,1931
"Aymara (056)",84,1,3,21,29,16,8,3,3
"Ashaninca (057)",2,,,2,,,,,
"Otra lengua nativa (058)",4,,1,,1,,1,1,
"Castellano (059)",14376,921,3812,2785,2238,1644,1209,759,1008
"Es sordomudo/a (061)",54,6,14,11,7,5,5,2,4
"Hombres (063)",13693,675,3077,2340,2063,1681,1319,1046,1492
"Quechua (064)",5475,210,1049,746,711,701,594,577,887
"Aymara (065)",52,,,11,21,9,7,3,1
"Ashaninca (066)",1,,,1,,,,,
"Otra lengua nativa (067)",3,,,,1,,1,1,
"Castellano (068)",8126,461,2018,1574,1324,968,715,464,602
"Es sordomudo/a (070)",36,4,10,8,6,3,2,1,2
"Mujeres (072)",11707,628,2793,1919,1534,1333,1145,901,1454
"Quechua (073)",5405,165,991,694,611,648,647,605,1044
"Aymara (074)",32,1,3,10,8,7,1,,2
"Ashaninca (075)",1,,,1,,,,,
"Otra lengua nativa (076)",1,,1,,,,,,
"Castellano (077)",6250,460,1794,1211,914,676,494,295,406
"Es sordomudo/a (079)",18,2,4,3,1,2,3,1,2
