"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia SUCRE (000)",3783,87,921,1351,987,437
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",40,,2,27,10,1
"Profes., científicos e intelectuales (002)",516,,118,279,119,
"Técnicos de nivel medio y trab.asimilados (003)",60,,17,33,10,
"Jefes y empleados de oficina (004)",95,,30,41,23,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",229,2,53,92,63,19
"Agricult.trabaj. calif. agrop. y pesqueros (006)",1142,5,169,379,334,255
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",105,1,39,40,17,8
"Obreros construc., conf., papel, fab., instr. (008)",86,,20,43,22,1
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",1249,72,383,338,326,130
"Otra (010)",6,,2,2,2,
"Ocupación no especificada (011)",186,5,58,57,50,16
"Desocupado (012)",69,2,30,20,11,6
"Hombres (013)",2636,60,640,951,677,308
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",31,,1,21,8,1
"Profes., científicos e intelectuales (015)",304,,61,159,84,
"Técnicos de nivel medio y trab.asimilados (016)",43,,11,22,10,
"Jefes y empleados de oficina (017)",70,,16,33,20,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",60,,12,24,17,7
"Agricult.trabaj. calif. agrop. y pesqueros (019)",935,4,136,329,268,198
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",92,1,34,35,16,6
"Obreros construc., conf., papel, fab., instr. (021)",85,,19,43,22,1
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",826,48,285,225,187,81
"Otra (023)",6,,2,2,2,
"Ocupación no especificada (024)",129,5,42,40,34,8
"Desocupado (025)",55,2,21,18,9,5
"Mujeres (026)",1147,27,281,400,310,129
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",9,,1,6,2,
"Profes., científicos e intelectuales (028)",212,,57,120,35,
"Técnicos de nivel medio y trab.asimilados (029)",17,,6,11,,
"Jefes y empleados de oficina (030)",25,,14,8,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",169,2,41,68,46,12
"Agricult.trabaj. calif. agrop. y pesqueros (032)",207,1,33,50,66,57
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",13,,5,5,1,2
"Obreros construc., conf., papel, fab., instr. (034)",1,,1,,,
