"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia UTCUBAMBA (000)",61222,54955,6267
"Hombres (001)",32405,29868,2537
"Mujeres (002)",28817,25087,3730
"De 18 a 29 años (003)",22089,18888,3201
"Hombres (004)",11541,9896,1645
"Mujeres (005)",10548,8992,1556
"De 30 a 44 años (006)",20370,19287,1083
"Hombres (007)",10622,10295,327
"Mujeres (008)",9748,8992,756
"De 45 a 64 años (009)",13838,12806,1032
"Hombres (010)",7468,7189,279
"Mujeres (011)",6370,5617,753
"De 65 y más años (012)",4925,3974,951
"Hombres (013)",2774,2488,286
"Mujeres (014)",2151,1486,665
,,,
"URBANA (015)",28116,26195,1921
"Hombres (016)",14632,13692,940
"Mujeres (017)",13484,12503,981
"De 18 a 29 años (018)",9931,8794,1137
"Hombres (019)",5125,4432,693
"Mujeres (020)",4806,4362,444
"De 30 a 44 años (021)",9725,9466,259
"Hombres (022)",4907,4808,99
"Mujeres (023)",4818,4658,160
"De 45 a 64 años (024)",6360,6111,249
"Hombres (025)",3445,3372,73
"Mujeres (026)",2915,2739,176
"De 65 y más años (027)",2100,1824,276
"Hombres (028)",1155,1080,75
"Mujeres (029)",945,744,201
,,,
"RURAL (030)",33106,28760,4346
"Hombres (031)",17773,16176,1597
"Mujeres (032)",15333,12584,2749
"De 18 a 29 años (033)",12158,10094,2064
"Hombres (034)",6416,5464,952
"Mujeres (035)",5742,4630,1112
"De 30 a 44 años (036)",10645,9821,824
"Hombres (037)",5715,5487,228
"Mujeres (038)",4930,4334,596
"De 45 a 64 años (039)",7478,6695,783
"Hombres (040)",4023,3817,206
"Mujeres (041)",3455,2878,577
"De 65 y más años (042)",2825,2150,675
"Hombres (043)",1619,1408,211
"Mujeres (044)",1206,742,464
