"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia SAN MIGUEL (000)",14703,3243,11460
"Red pública dentro de la vivienda (001)",3847,1820,2027
"Red pública fuera de la vivienda (002)",3371,676,2695
"Pilón de uso público (003)",496,73,423
"Camión - cisterna u otro similar (004)",6,,6
"Pozo (005)",627,36,591
"Río, acequia, manatial o similar (006)",5953,572,5381
"Vecino (007)",349,54,295
"Otro (008)",54,12,42
,,,
"URBANA (010)",2536,1941,595
"Red pública dentro de la vivienda (011)",1727,1387,340
"Red pública fuera de la vivienda (012)",311,214,97
"Pilón de uso público (013)",22,14,8
"Camión - cisterna u otro similar (014)",1,,1
"Pozo (015)",13,8,5
"Río, acequia, manatial o similar (016)",355,280,75
"Vecino (017)",85,29,56
"Otro (018)",22,9,13
,,,
"RURAL (020)",12167,1302,10865
"Red pública dentro de la vivienda (021)",2120,433,1687
"Red pública fuera de la vivienda (022)",3060,462,2598
"Pilón de uso público (023)",474,59,415
"Camión - cisterna u otro similar (024)",5,,5
"Pozo (025)",614,28,586
"Río, acequia, manatial o similar (026)",5598,292,5306
"Vecino (027)",264,25,239
"Otro (028)",32,3,29
