"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TAYACAJA (000)",30831,27510,1918,546,857
"Agric., ganadería, caza y silvicultura (001)",24040,22827,1154,51,8
"Pesca (002)",7,7,,,
"Explotación de minas y canteras (003)",39,8,7,12,12
"Industrias manufactureras (004)",455,378,56,12,9
"Suministro de electricidad, gas y agua (005)",55,1,1,38,15
"Construcción (006)",507,300,108,58,41
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1714,1667,43,3,1
"Venta, mant.y rep. veh.autom y motoc. (008)",78,71,6,1,
"Comercio al por mayor (009)",96,89,5,1,1
"Comercio al por menor (010)",1540,1507,32,1,
"Hoteles y restaurantes (011)",523,493,28,1,1
"Trans., almac. y comunicaciones (012)",464,417,19,15,13
"Intermediación financiera (013)",13,6,1,3,3
"Activid.inmobil., empres. y alquileres (014)",191,76,41,45,29
"Admin.pub. y defensa; p. segur soc.afil (015)",490,,,,490
"Enseñanza (016)",1006,312,358,277,59
"Servicios sociales y de salud (017)",269,81,18,15,155
"Otras activ. serv.comun.soc y personales (018)",169,120,32,11,6
"Hogares privados con servicio doméstico (019)",241,241,,,
"Actividad economica no especificada (021)",648,576,52,5,15
"Hombres (022)",21687,19328,1369,378,612
"Agric., ganadería, caza y silvicultura (023)",17923,17035,849,34,5
"Pesca (024)",7,7,,,
"Explotación de minas y canteras (025)",38,8,6,12,12
"Industrias manufactureras (026)",327,261,51,9,6
"Suministro de electricidad, gas y agua (027)",52,1,1,36,14
"Construcción (028)",492,299,105,49,39
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",731,702,25,3,1
"Venta, mant.y rep. veh.autom y motoc. (030)",70,63,6,1,
"Comercio al por mayor (031)",61,56,3,1,1
"Comercio al por menor (032)",600,583,16,1,
"Hoteles y restaurantes (033)",95,88,5,1,1
"Trans., almac. y comunicaciones (034)",445,403,15,14,13
"Intermediación financiera (035)",6,5,,,1
"Activid.inmobil., empres. y alquileres (036)",155,60,33,40,22
"Admin.pub. y defensa; p. segur soc.afil (037)",377,,,,377
"Enseñanza (038)",534,121,214,164,35
"Servicios sociales y de salud (039)",122,36,10,4,72
"Otras activ. serv.comun.soc y personales (040)",98,59,27,7,5
"Hogares privados con servicio doméstico (041)",25,25,,,
"Actividad economica no especificada (043)",260,218,28,5,9
