"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia AYMARAES (000)",252,70,182
"De 14 a 29 años (001)",115,51,64
"De 30 a 44 años (002)",75,15,60
"De 45 a 64 años (003)",48,4,44
"De 65 y más años (004)",14,,14
"Hombres (005)",194,48,146
"De 14 a 29 años (006)",85,36,49
"De 30 a 44 años (007)",60,11,49
"De 45 a 64 años (008)",37,1,36
"De 65 y más años (009)",12,,12
"Mujeres (010)",58,22,36
"De 14 a 29 años (011)",30,15,15
"De 30 a 44 años (012)",15,4,11
"De 45 a 64 años (013)",11,3,8
"De 65 y más años (014)",2,,2
,,,
"AREA URBANA (015)",136,30,106
"De 14 a 29 años (016)",55,19,36
"De 30 a 44 años (017)",49,9,40
"De 45 a 64 años (018)",28,2,26
"De 65 y más años (019)",4,,4
"Hombres (020)",103,20,83
"De 14 a 29 años (021)",39,12,27
"De 30 a 44 años (022)",37,7,30
"De 45 a 64 años (023)",24,1,23
"De 65 y más años (024)",3,,3
"Mujeres (025)",33,10,23
"De 14 a 29 años (026)",16,7,9
"De 30 a 44 años (027)",12,2,10
"De 45 a 64 años (028)",4,1,3
"De 65 y más años (029)",1,,1
,,,
"AREA RURAL (030)",116,40,76
"De 14 a 29 años (031)",60,32,28
"De 30 a 44 años (032)",26,6,20
"De 45 a 64 años (033)",20,2,18
"De 65 y más años (034)",10,,10
"Hombres (035)",91,28,63
"De 14 a 29 años (036)",46,24,22
"De 30 a 44 años (037)",23,4,19
"De 45 a 64 años (038)",13,,13
"De 65 y más años (039)",9,,9
"Mujeres (040)",25,12,13
"De 14 a 29 años (041)",14,8,6
"De 30 a 44 años (042)",3,2,1
"De 45 a 64 años (043)",7,2,5
"De 65 y más años (044)",1,,1
