"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CANCHIS (000)",36972,35197,10623,4216,4311,3672,5430,3569,3376,1775
"Católica (001)",31163,29693,8763,3612,3729,3128,4599,3023,2839,1470
"Cristiana/Evangélica (002)",3854,3670,1185,380,390,367,582,387,379,184
"Otra (003)",1345,1260,415,144,131,117,200,122,131,85
"Ninguna (004)",610,574,260,80,61,60,49,37,27,36
,,,,,,,,,,
"URBANA (006)",22181,20843,6602,2892,2976,2314,3056,1687,1316,1338
"Católica (007)",18765,17651,5436,2499,2594,1984,2588,1443,1107,1114
"Cristiana/Evangélica (008)",2036,1911,651,221,229,206,307,161,136,125
"Otra (009)",934,867,309,115,106,82,130,63,62,67
"Ninguna (010)",446,414,206,57,47,42,31,20,11,32
,,,,,,,,,,
"RURAL (012)",14791,14354,4021,1324,1335,1358,2374,1882,2060,437
"Católica (013)",12398,12042,3327,1113,1135,1144,2011,1580,1732,356
"Cristiana/Evangélica (014)",1818,1759,534,159,161,161,275,226,243,59
"Otra (015)",411,393,106,29,25,35,70,59,69,18
"Ninguna (016)",164,160,54,23,14,18,18,17,16,4
