"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia URUBAMBA (000)",16088,14798,13169,713,916,1290,42,396,807,45
"Casa independiente (001)",15527,14265,12663,700,902,1262,42,395,782,43
"Departamento en edificio (002)",89,89,89,,,,,,,
"Vivienda en quinta (003)",71,67,63,4,,4,,1,3,
"Vivienda en casa de vecindad (004)",314,311,308,1,2,3,,,3,
"Choza o cabaña (005)",45,30,14,6,10,15,,,15,
"Vivienda improvisada (006)",18,12,8,2,2,6,,,4,2
"Local no dest.para hab. humana (007)",8,8,8,,,,,,,
"Otro tipo (008)",16,16,16,,,,,,,
,,,,,,,,,,
"URBANA (009)",6850,6528,6101,273,154,322,9,97,207,9
"Casa independiente (010)",6340,6031,5615,266,150,309,9,96,197,7
"Departamento en edificio (011)",89,89,89,,,,,,,
"Vivienda en quinta (012)",71,67,63,4,,4,,1,3,
"Vivienda en casa de vecindad (013)",314,311,308,1,2,3,,,3,
"Vivienda improvisada (015)",18,12,8,2,2,6,,,4,2
"Local no dest.para hab. humana (016)",7,7,7,,,,,,,
"Otro tipo (017)",11,11,11,,,,,,,
,,,,,,,,,,
"RURAL (018)",9238,8270,7068,440,762,968,33,299,600,36
"Casa independiente (019)",9187,8234,7048,434,752,953,33,299,585,36
"Choza o cabaña (023)",45,30,14,6,10,15,,,15,
"Local no dest.para hab. humana (025)",1,1,1,,,,,,,
"Otro tipo (026)",5,5,5,,,,,,,
