"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SIHUAS (000)",8288,6756,611,319,602
"Empleado (001)",1249,309,177,221,542
"Obrero (002)",1341,937,257,91,56
"Trabajador independiente (003)",4183,4067,116,,
"Empleador o patrono (004)",63,51,6,5,1
"Trabajador familiar no remunerado (005)",1317,1257,55,2,3
"Trabajador del hogar (006)",135,135,,,
"De 06 a 14 años (008)",127,97,27,3,
"Empleado (009)",3,3,,,
"Obrero (010)",15,11,3,1,
"Trabajador independiente (011)",14,14,,,
"Trabajador familiar no remunerado (013)",91,65,24,2,
"Trabajador del hogar (014)",4,4,,,
"De 15 a 29 años (016)",2333,1914,184,81,154
"Empleado (017)",300,89,34,47,130
"Obrero (018)",504,343,104,34,23
"Trabajador independiente (019)",902,872,30,,
"Empleador o patrono (020)",10,10,,,
"Trabajador familiar no remunerado (021)",551,534,16,,1
"Trabajador del hogar (022)",66,66,,,
"De 30 a 44 años (024)",2813,2136,233,135,309
"Empleado (025)",631,144,98,99,290
"Obrero (026)",404,269,85,32,18
"Trabajador independiente (027)",1379,1335,44,,
"Empleador o patrono (028)",23,16,2,4,1
"Trabajador familiar no remunerado (029)",338,334,4,,
"Trabajador del hogar (030)",38,38,,,
"De 45 a 64 años (032)",2192,1821,150,92,129
"Empleado (033)",300,65,45,73,117
"Obrero (034)",323,234,60,18,11
"Trabajador independiente (035)",1296,1261,35,,
"Empleador o patrono (036)",20,16,3,1,
"Trabajador familiar no remunerado (037)",233,225,7,,1
"Trabajador del hogar (038)",20,20,,,
"De 65 y más años (040)",823,788,17,8,10
"Empleado (041)",15,8,,2,5
"Obrero (042)",95,80,5,6,4
"Trabajador independiente (043)",592,585,7,,
"Empleador o patrono (044)",10,9,1,,
"Trabajador familiar no remunerado (045)",104,99,4,,1
"Trabajador del hogar (046)",7,7,,,
,,,,,
"URBANA (048)",2688,1751,217,234,486
"Empleado (049)",988,224,112,196,456
"Obrero (050)",431,310,58,33,30
"Trabajador independiente (051)",946,916,30,,
"Empleador o patrono (052)",22,15,2,5,
"Trabajador familiar no remunerado (053)",204,189,15,,
"Trabajador del hogar (054)",97,97,,,
"De 06 a 14 años (056)",42,33,9,,
"Empleado (057)",2,2,,,
"Obrero (058)",5,4,1,,
