"CUADRO Nº 5: POBLACIÓN EN VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MORROPON (000)",346,346,
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",18,18,
"Casa pensión (003)",32,32,
"Hospital, clinica (004)",127,127,
"Asilo (006)",7,7,
"Aldea infantil, orfelinato, etc (007)",5,5,
"Otro (008)",83,83,
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",74,74,
