"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia HUANCA SANCOS (000)",6371,5893,3400,1773,720,478,5,144,314,15
"Casa independiente (001)",3985,3623,2854,677,92,362,5,143,208,6
"Departamento en edificio (002)",4,4,4,,,,,,,
"Vivienda en quinta (003)",15,15,15,,,,,,,
"Vivienda en casa de vecindad (004)",17,16,9,6,1,1,,1,,
"Choza o cabaña (005)",2339,2227,511,1089,627,112,,,104,8
"Vivienda improvisada (006)",5,2,1,1,,3,,,2,1
"Local no dest.para hab. humana (007)",5,5,5,,,,,,,
"Otro tipo (008)",1,1,1,,,,,,,
,,,,,,,,,,
"URBANA (009)",2715,2502,2117,347,38,213,1,66,141,5
"Casa independiente (010)",2670,2461,2084,340,37,209,1,65,139,4
"Departamento en edificio (011)",4,4,4,,,,,,,
"Vivienda en quinta (012)",15,15,15,,,,,,,
"Vivienda en casa de vecindad (013)",17,16,9,6,1,1,,1,,
"Vivienda improvisada (015)",5,2,1,1,,3,,,2,1
"Local no dest.para hab. humana (016)",4,4,4,,,,,,,
,,,,,,,,,,
"RURAL (018)",3656,3391,1283,1426,682,265,4,78,173,10
"Casa independiente (019)",1315,1162,770,337,55,153,4,78,69,2
"Choza o cabaña (023)",2339,2227,511,1089,627,112,,,104,8
"Local no dest.para hab. humana (025)",1,1,1,,,,,,,
"Otro tipo (026)",1,1,1,,,,,,,
