"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia RECUAY (000)",5493,43,1883,1997,636,240,128,54,12,,500
"Conviviente (001)",1770,13,656,675,198,61,36,13,2,,116
"Separado(a) (002)",430,6,133,181,47,26,8,2,2,,25
"Casado(a) (003)",1938,14,690,726,245,88,57,21,6,,91
"Viudo(a) (004)",759,7,282,273,73,33,15,16,2,,58
"Divorciado(a) (005)",17,,5,7,3,1,,,,,1
"Soltero(a) (006)",579,3,117,135,70,31,12,2,,,209
,,,,,,,,,,,
"URBANA (008)",3190,21,1018,1175,418,149,85,34,9,,281
"Conviviente (009)",979,5,334,375,125,42,24,9,2,,63
"Separado(a) (010)",269,4,77,111,34,18,6,2,2,,15
"Casado(a) (011)",1157,7,384,437,166,55,36,15,4,,53
"Viudo(a) (012)",448,3,153,172,45,17,10,6,1,,41
"Divorciado(a) (013)",15,,5,6,3,1,,,,,
"Soltero(a) (014)",322,2,65,74,45,16,9,2,,,109
,,,,,,,,,,,
"RURAL (016)",2303,22,865,822,218,91,43,20,3,,219
"Conviviente (017)",791,8,322,300,73,19,12,4,,,53
"Separado(a) (018)",161,2,56,70,13,8,2,,,,10
"Casado(a) (019)",781,7,306,289,79,33,21,6,2,,38
"Viudo(a) (020)",311,4,129,101,28,16,5,10,1,,17
"Divorciado(a) (021)",2,,,1,,,,,,,1
"Soltero(a) (022)",257,1,52,61,25,15,3,,,,100
