"CUADRO Nº 20: TOTAL DE VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR RÉGIMEN DE TENENCIA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"RÉGIMEN DE TENENCIA",,,,,
,,ALQUILADA,"PROPIA POR INVASIÓN","PROPIA PAGÁNDOLA A PLAZOS","PROPIA TOTALMENTE PAGADA","CEDIDA POR EL CENTRO DE TRABAJO/OTRO HOGAR /INSTITUCIÓN","OTRA FORMA"
,,,,,,,
"Provincia CONDORCANQUI",,,,,,,
"Viviendas particulares (001)",8650,300,5,26,3659,4493,167
"Ocupantes presentes (002)",42662,978,27,111,19083,21601,862
"Casa independiente",,,,,,,
"Viviendas particulares (004)",1991,202,1,17,1061,623,87
"Ocupantes presentes (005)",9759,732,1,73,5561,2928,464
"Departamento en edificio",,,,,,,
"Viviendas particulares (007)",7,7,,,,,
"Ocupantes presentes (008)",15,15,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (010)",14,12,,,2,,
"Ocupantes presentes (011)",33,24,,,9,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (013)",47,29,,,17,1,
"Ocupantes presentes (014)",166,66,,,97,3,
"Choza o cabaña",,,,,,,
"Viviendas particulares (016)",6571,41,4,9,2570,3868,79
"Ocupantes presentes (017)",32596,102,26,38,13374,18665,391
"Vivienda improvisada",,,,,,,
"Viviendas particulares (019)",15,9,,,6,,
"Ocupantes presentes (020)",72,39,,,33,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (022)",3,,,,1,1,1
"Ocupantes presentes (023)",13,,,,1,5,7
"Otro tipo",,,,,,,
"Viviendas particulares (025)",2,,,,2,,
"Ocupantes presentes (026)",8,,,,8,,
,,,,,,,
URBANA,,,,,,,
"Viviendas particulares (028)",1226,201,1,15,823,107,79
"Ocupantes presentes (029)",6124,715,1,69,4382,530,427
"Casa independiente",,,,,,,
"Viviendas particulares (031)",1142,144,1,15,798,106,78
"Ocupantes presentes (032)",5831,571,1,69,4243,527,420
"Departamento en edificio",,,,,,,
"Viviendas particulares (034)",7,7,,,,,
"Ocupantes presentes (035)",15,15,,,,,
"Vivienda en quinta",,,,,,,
"Viviendas particulares (037)",14,12,,,2,,
"Ocupantes presentes (038)",33,24,,,9,,
"Vivienda en casa de vecindad",,,,,,,
"Viviendas particulares (040)",47,29,,,17,1,
"Ocupantes presentes (041)",166,66,,,97,3,
"Choza o cabaña",,,,,,,
"Vivienda improvisada",,,,,,,
"Viviendas particulares (046)",15,9,,,6,,
"Ocupantes presentes (047)",72,39,,,33,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (049)",1,,,,,,1
"Ocupantes presentes (050)",7,,,,,,7
"Otro tipo",,,,,,,
,,,,,,,
RURAL,,,,,,,
"Viviendas particulares (055)",7424,99,4,11,2836,4386,88
"Ocupantes presentes (056)",36538,263,26,42,14701,21071,435
"Casa independiente",,,,,,,
"Viviendas particulares (058)",849,58,,2,263,517,9
"Ocupantes presentes (059)",3928,161,,4,1318,2401,44
"Departamento en edificio",,,,,,,
"Vivienda en quinta",,,,,,,
"Vivienda en casa de vecindad",,,,,,,
"Choza o cabaña",,,,,,,
"Viviendas particulares (070)",6571,41,4,9,2570,3868,79
"Ocupantes presentes (071)",32596,102,26,38,13374,18665,391
"Vivienda improvisada",,,,,,,
"Local no dest.para hab. humana",,,,,,,
"Viviendas particulares (076)",2,,,,1,1,
"Ocupantes presentes (077)",6,,,,1,5,
"Otro tipo",,,,,,,
"Viviendas particulares (079)",2,,,,2,,
"Ocupantes presentes (080)",8,,,,8,,
