"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia SAN MARCOS (000)",13821,245,5476,4169,1309,492,246,73,16,,1795
"Conviviente (001)",7071,144,3145,2106,576,201,99,24,8,,768
"Separado(a) (002)",759,14,325,237,78,37,13,2,,,53
"Casado(a) (003)",3629,50,1411,1217,434,158,77,29,4,,249
"Viudo(a) (004)",1178,24,410,421,127,53,24,13,4,,102
"Divorciado(a) (005)",134,1,56,41,16,4,5,,,,11
"Soltero(a) (006)",1050,12,129,147,78,39,28,5,,,612
,,,,,,,,,,,
"URBANA (008)",3328,34,1011,983,419,185,112,37,6,,541
"Conviviente (009)",1304,16,476,397,154,55,37,11,5,,153
"Separado(a) (010)",190,2,73,59,26,13,2,2,,,13
"Casado(a) (011)",1102,10,312,355,177,78,46,15,,,109
"Viudo(a) (012)",279,4,83,90,31,15,11,6,1,,38
"Divorciado(a) (013)",33,,12,10,3,1,3,,,,4
"Soltero(a) (014)",420,2,55,72,28,23,13,3,,,224
,,,,,,,,,,,
"RURAL (016)",10493,211,4465,3186,890,307,134,36,10,,1254
"Conviviente (017)",5767,128,2669,1709,422,146,62,13,3,,615
"Separado(a) (018)",569,12,252,178,52,24,11,,,,40
"Casado(a) (019)",2527,40,1099,862,257,80,31,14,4,,140
"Viudo(a) (020)",899,20,327,331,96,38,13,7,3,,64
"Divorciado(a) (021)",101,1,44,31,13,3,2,,,,7
"Soltero(a) (022)",630,10,74,75,50,16,15,2,,,388
