"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia AIJA (000)",2130,14,180,30,68,132,777,76,67,719,6,61
"Agric., ganadería, caza y silvicultura (001)",1226,,1,4,,,777,,,444,,
"Pesca (002)",2,,,,,,,,,2,,
"Explotación de minas y canteras (003)",118,,1,2,,,,37,2,76,,
"Industrias manufactureras (004)",37,,,1,1,,,32,2,1,,
"Suministro de electricidad, gas y agua (005)",2,,,,,,,1,,1,,
"Construcción (006)",116,,3,,,,,,41,72,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",116,,1,1,,90,,6,,18,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",2,,,,,,,2,,,,
"Comercio al por mayor (009)",6,,,,,6,,,,,,
"Comercio al por menor (010)",108,,1,1,,84,,4,,18,,
"Hoteles y restaurantes (011)",49,,,2,,30,,,,17,,
"Trans., almac. y comunicaciones (012)",23,,,,,,,,19,4,,
"Intermediación financiera (013)",2,,1,,,,,,,1,,
"Activid.inmobil., empres. y alquileres (014)",24,,2,1,11,6,,,,4,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",90,12,5,3,43,2,,,2,17,6,
"Enseñanza (016)",174,2,159,,9,,,,1,3,,
"Servicios sociales y de salud (017)",33,,7,13,2,4,,,,7,,
