"CUADRO Nº 5: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SECHURA (000)",44120,8254,4477,1697,29815
"Conviviente (001)",11354,2429,1072,318,7560
"Separado(a) (002)",1161,246,76,38,802
"Casado(a) (003)",14290,2118,1960,610,9665
"Viudo(a) (004)",1283,154,105,57,968
"Divorciado(a) (005)",52,6,4,4,38
"Soltero(a) (006)",15980,3301,1260,670,10782
"Hombres (008)",22117,3177,2339,1165,15523
"Conviviente (009)",5541,687,514,222,4136
"Separado(a) (010)",263,26,19,19,199
"Casado(a) (011)",7068,746,1084,413,4873
"Viudo(a) (012)",430,37,40,29,324
"Divorciado(a) (013)",26,3,3,4,16
"Soltero(a) (014)",8789,1678,679,478,5975
"Mujeres (016)",22003,5077,2138,532,14292
"Conviviente (017)",5813,1742,558,96,3424
"Separado(a) (018)",898,220,57,19,603
"Casado(a) (019)",7222,1372,876,197,4792
"Viudo(a) (020)",853,117,65,28,644
"Divorciado(a) (021)",26,3,1,,22
"Soltero(a) (022)",7191,1623,581,192,4807
,,,,,
"URBANA (024)",41381,7487,4349,1639,28026
"Conviviente (025)",10564,2190,1041,300,7058
"Separado(a) (026)",1081,231,71,38,742
"Casado(a) (027)",13552,1947,1912,593,9161
"Viudo(a) (028)",1204,139,97,57,912
"Divorciado(a) (029)",48,5,4,4,35
"Soltero(a) (030)",14932,2975,1224,647,10118
"Hombres (032)",20648,2827,2277,1128,14500
"Conviviente (033)",5140,599,503,210,3846
"Separado(a) (034)",248,26,18,19,185
"Casado(a) (035)",6685,679,1057,402,4593
"Viudo(a) (036)",395,29,37,29,300
"Divorciado(a) (037)",24,3,3,4,14
"Soltero(a) (038)",8156,1491,659,464,5562
"Mujeres (040)",20733,4660,2072,511,13526
"Conviviente (041)",5424,1591,538,90,3212
"Separado(a) (042)",833,205,53,19,557
"Casado(a) (043)",6867,1268,855,191,4568
"Viudo(a) (044)",809,110,60,28,612
"Divorciado(a) (045)",24,2,1,,21
"Soltero(a) (046)",6776,1484,565,183,4556
,,,,,
"RURAL (048)",2739,767,128,58,1789
"Conviviente (049)",790,239,31,18,502
"Separado(a) (050)",80,15,5,,60
"Casado(a) (051)",738,171,48,17,504
"Viudo(a) (052)",79,15,8,,56
"Divorciado(a) (053)",4,1,,,3
"Soltero(a) (054)",1048,326,36,23,664
"Hombres (056)",1469,350,62,37,1023
"Conviviente (057)",401,88,11,12,290
"Separado(a) (058)",15,,1,,14
"Casado(a) (059)",383,67,27,11,280
"Viudo(a) (060)",35,8,3,,24
"Divorciado(a) (061)",2,,,,2
"Soltero(a) (062)",633,187,20,14,413
"Mujeres (064)",1270,417,66,21,766
"Conviviente (065)",389,151,20,6,212
"Separado(a) (066)",65,15,4,,46
"Casado(a) (067)",355,104,21,6,224
"Viudo(a) (068)",44,7,5,,32
"Divorciado(a) (069)",2,1,,,1
"Soltero(a) (070)",415,139,16,9,251
