"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia HUAYLAS (000)",19731,19399,5845,2371,2305,1924,2841,1876,2237,332
"Católica (001)",17400,17114,5187,2136,2045,1695,2480,1654,1917,286
"Cristiana/Evangélica (002)",1999,1960,543,191,210,182,330,201,303,39
"Otra (003)",222,216,67,27,32,35,26,15,14,6
"Ninguna (004)",110,109,48,17,18,12,5,6,3,1
,,,,,,,,,,
"URBANA (006)",6947,6816,2044,1080,1044,799,947,487,415,131
"Católica (007)",6064,5953,1788,964,924,695,816,415,351,111
"Cristiana/Evangélica (008)",623,610,162,84,77,68,103,60,56,13
"Otra (009)",175,169,58,20,26,27,24,8,6,6
"Ninguna (010)",85,84,36,12,17,9,4,4,2,1
,,,,,,,,,,
"RURAL (012)",12784,12583,3801,1291,1261,1125,1894,1389,1822,201
"Católica (013)",11336,11161,3399,1172,1121,1000,1664,1239,1566,175
"Cristiana/Evangélica (014)",1376,1350,381,107,133,114,227,141,247,26
"Otra (015)",47,47,9,7,6,8,2,7,8,
"Ninguna (016)",25,25,12,5,1,3,1,2,1,
