"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia PUNO (000)",66374,46114,20260
"Red pública dentro de la vivienda (001)",25406,24148,1258
"Red pública fuera de la vivienda (002)",6682,6044,638
"Pilón de uso público (003)",1461,1075,386
"Camión - cisterna u otro similar (004)",43,21,22
"Pozo (005)",20674,9861,10813
"Río, acequia, manatial o similar (006)",9237,3814,5423
"Vecino (007)",2207,965,1242
"Otro (008)",664,186,478
,,,
"URBANA (010)",36907,32648,4259
"Red pública dentro de la vivienda (011)",23625,22769,856
"Red pública fuera de la vivienda (012)",6138,5720,418
"Pilón de uso público (013)",551,425,126
"Camión - cisterna u otro similar (014)",24,14,10
"Pozo (015)",4319,2565,1754
"Río, acequia, manatial o similar (016)",1009,515,494
"Vecino (017)",971,505,466
"Otro (018)",270,135,135
,,,
"RURAL (020)",29467,13466,16001
"Red pública dentro de la vivienda (021)",1781,1379,402
"Red pública fuera de la vivienda (022)",544,324,220
"Pilón de uso público (023)",910,650,260
"Camión - cisterna u otro similar (024)",19,7,12
"Pozo (025)",16355,7296,9059
"Río, acequia, manatial o similar (026)",8228,3299,4929
"Vecino (027)",1236,460,776
"Otro (028)",394,51,343
