"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SAN MIGUEL (000)",14924,13096,764,229,835
"Empleado (001)",1544,459,274,153,658
"Obrero (002)",2476,2131,162,64,119
"Trabajador independiente (003)",7986,7764,222,,
"Empleador o patrono (004)",173,158,10,2,3
"Trabajador familiar no remunerado (005)",2461,2300,96,10,55
"Trabajador del hogar (006)",284,284,,,
"De 06 a 14 años (008)",182,174,6,1,1
"Empleado (009)",5,5,,,
"Obrero (010)",19,17,1,1,
"Trabajador independiente (011)",34,32,2,,
"Trabajador familiar no remunerado (013)",115,111,3,,1
"Trabajador del hogar (014)",9,9,,,
"De 15 a 29 años (016)",4281,3844,213,65,159
"Empleado (017)",308,131,33,32,112
"Obrero (018)",855,726,71,27,31
"Trabajador independiente (019)",1732,1673,59,,
"Empleador o patrono (020)",22,20,,1,1
"Trabajador familiar no remunerado (021)",1247,1177,50,5,15
"Trabajador del hogar (022)",117,117,,,
"De 30 a 44 años (024)",5051,4202,312,102,435
"Empleado (025)",811,220,151,73,367
"Obrero (026)",870,734,56,27,53
"Trabajador independiente (027)",2640,2562,78,,
"Empleador o patrono (028)",62,55,6,,1
"Trabajador familiar no remunerado (029)",582,545,21,2,14
"Trabajador del hogar (030)",86,86,,,
"De 45 a 64 años (032)",3787,3308,198,58,223
"Empleado (033)",399,95,88,45,171
"Obrero (034)",541,478,25,9,29
"Trabajador independiente (035)",2362,2297,65,,
"Empleador o patrono (036)",46,41,3,1,1
"Trabajador familiar no remunerado (037)",380,338,17,3,22
"Trabajador del hogar (038)",59,59,,,
"De 65 y más años (040)",1623,1568,35,3,17
"Empleado (041)",21,8,2,3,8
"Obrero (042)",191,176,9,,6
"Trabajador independiente (043)",1218,1200,18,,
"Empleador o patrono (044)",43,42,1,,
"Trabajador familiar no remunerado (045)",137,129,5,,3
"Trabajador del hogar (046)",13,13,,,
,,,,,
"URBANA (048)",3099,2168,277,135,519
"Empleado (049)",983,239,155,117,472
"Obrero (050)",432,320,53,15,44
"Trabajador independiente (051)",1344,1288,56,,
"Empleador o patrono (052)",18,12,4,1,1
"Trabajador familiar no remunerado (053)",217,204,9,2,2
"Trabajador del hogar (054)",105,105,,,
"De 06 a 14 años (056)",31,29,2,,
