"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia CAYLLOMA (000)",32467,80,1123,885,568,3423,7319,2112,2476,13693,115,673
"Agric., ganadería, caza y silvicultura (001)",17945,,41,87,8,,7297,4,69,10439,,
"Pesca (002)",34,,1,1,,,22,,,10,,
"Explotación de minas y canteras (003)",800,,40,37,29,2,,516,39,137,,
"Industrias manufactureras (004)",1566,,12,72,39,20,,1183,145,95,,
"Suministro de electricidad, gas y agua (005)",49,,2,4,6,,,10,17,10,,
"Construcción (006)",1664,1,12,26,11,,,60,1006,548,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3749,,22,148,30,2532,,304,28,685,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",338,,4,17,4,49,,250,9,5,,
"Comercio al por mayor (009)",206,,8,17,10,148,,,3,20,,
"Comercio al por menor (010)",3205,,10,114,16,2335,,54,16,660,,
"Hoteles y restaurantes (011)",1347,5,14,83,32,685,,1,1,526,,
"Trans., almac. y comunicaciones (012)",1436,,6,41,45,18,,6,1070,250,,
"Intermediación financiera (013)",24,,3,3,16,,,,1,1,,
"Activid.inmobil., empres. y alquileres (014)",614,1,84,114,104,61,,13,45,192,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",528,61,27,19,143,18,,4,25,116,115,
"Enseñanza (016)",759,12,688,9,20,,,1,1,28,,
"Servicios sociales y de salud (017)",342,,134,140,9,9,,2,5,43,,
