"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia JAUJA (000)",1821,502,1319
"De 14 a 29 años (001)",964,397,567
"De 30 a 44 años (002)",506,95,411
"De 45 a 64 años (003)",293,10,283
"De 65 y más años (004)",58,,58
"Hombres (005)",1316,336,980
"De 14 a 29 años (006)",656,263,393
"De 30 a 44 años (007)",355,64,291
"De 45 a 64 años (008)",257,9,248
"De 65 y más años (009)",48,,48
"Mujeres (010)",505,166,339
"De 14 a 29 años (011)",308,134,174
"De 30 a 44 años (012)",151,31,120
"De 45 a 64 años (013)",36,1,35
"De 65 y más años (014)",10,,10
,,,
"AREA URBANA (015)",1399,353,1046
"De 14 a 29 años (016)",720,274,446
"De 30 a 44 años (017)",411,72,339
"De 45 a 64 años (018)",223,7,216
"De 65 y más años (019)",45,,45
"Hombres (020)",973,218,755
"De 14 a 29 años (021)",469,167,302
"De 30 a 44 años (022)",275,45,230
"De 45 a 64 años (023)",192,6,186
"De 65 y más años (024)",37,,37
"Mujeres (025)",426,135,291
"De 14 a 29 años (026)",251,107,144
"De 30 a 44 años (027)",136,27,109
"De 45 a 64 años (028)",31,1,30
"De 65 y más años (029)",8,,8
,,,
"AREA RURAL (030)",422,149,273
"De 14 a 29 años (031)",244,123,121
"De 30 a 44 años (032)",95,23,72
"De 45 a 64 años (033)",70,3,67
"De 65 y más años (034)",13,,13
"Hombres (035)",343,118,225
"De 14 a 29 años (036)",187,96,91
"De 30 a 44 años (037)",80,19,61
"De 45 a 64 años (038)",65,3,62
"De 65 y más años (039)",11,,11
"Mujeres (040)",79,31,48
"De 14 a 29 años (041)",57,27,30
"De 30 a 44 años (042)",15,4,11
"De 45 a 64 años (043)",5,,5
"De 65 y más años (044)",2,,2
