"CUADRO Nº 12: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia AIJA (000)",6894,619,114,3174,1965,343,403,92,184
"Hombres (001)",3436,124,57,1549,1062,207,262,56,119
"Mujeres (002)",3458,495,57,1625,903,136,141,36,65
"PEA (003)",2348,138,2,819,748,193,269,49,130
"Hombres (004)",1758,72,1,625,582,146,203,37,92
"Mujeres (005)",590,66,1,194,166,47,66,12,38
"Ocupada (006)",2181,131,2,761,685,181,252,44,125
"Hombres (007)",1606,65,1,570,523,137,189,33,88
"Mujeres (008)",575,66,1,191,162,44,63,11,37
"Desocupada (009)",167,7,,58,63,12,17,5,5
"Hombres (010)",152,7,,55,59,9,14,4,4
"Mujeres (011)",15,,,3,4,3,3,1,1
"No PEA (012)",4546,481,112,2355,1217,150,134,43,54
"Hombres (013)",1678,52,56,924,480,61,59,19,27
"Mujeres (014)",2868,429,56,1431,737,89,75,24,27
,,,,,,,,,
"URBANA (018)",2225,69,35,878,695,132,235,41,140
"Hombres (019)",1091,11,14,407,332,72,147,19,89
"Mujeres (020)",1134,58,21,471,363,60,88,22,51
"PEA (021)",835,9,1,201,265,68,161,26,104
"Hombres (022)",560,5,,140,167,48,112,17,71
"Mujeres (023)",275,4,1,61,98,20,49,9,33
"Ocupada (024)",788,9,1,187,246,66,154,25,100
"Hombres (025)",522,5,,127,151,47,108,17,67
"Mujeres (026)",266,4,1,60,95,19,46,8,33
"Desocupada (027)",47,,,14,19,2,7,1,4
"Hombres (028)",38,,,13,16,1,4,,4
"Mujeres (029)",9,,,1,3,1,3,1,
"No PEA (030)",1390,60,34,677,430,64,74,15,36
"Hombres (031)",531,6,14,267,165,24,35,2,18
"Mujeres (032)",859,54,20,410,265,40,39,13,18
,,,,,,,,,
"RURAL (036)",4669,550,79,2296,1270,211,168,51,44
"Hombres (037)",2345,113,43,1142,730,135,115,37,30
"Mujeres (038)",2324,437,36,1154,540,76,53,14,14
"PEA (039)",1513,129,1,618,483,125,108,23,26
"Hombres (040)",1198,67,1,485,415,98,91,20,21
"Mujeres (041)",315,62,,133,68,27,17,3,5
"Ocupada (042)",1393,122,1,574,439,115,98,19,25
"Hombres (043)",1084,60,1,443,372,90,81,16,21
"Mujeres (044)",309,62,,131,67,25,17,3,4
"Desocupada (045)",120,7,,44,44,10,10,4,1
"Hombres (046)",114,7,,42,43,8,10,4,
"Mujeres (047)",6,,,2,1,2,,,1
"No PEA (048)",3156,421,78,1678,787,86,60,28,18
"Hombres (049)",1147,46,42,657,315,37,24,17,9
"Mujeres (050)",2009,375,36,1021,472,49,36,11,9
