"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia ALTO AMAZONAS (000)",86049,25130,26545,18120,12504,3750
"Hombres (001)",44009,12793,13229,9337,6765,1885
"Mujeres (002)",42040,12337,13316,8783,5739,1865
"PEA (003)",34644,1190,12137,11775,8042,1500
"Hombres (004)",24678,814,8678,8301,5765,1120
"Mujeres (005)",9966,376,3459,3474,2277,380
"Ocupada (006)",33372,1100,11545,11420,7855,1452
"Hombres (007)",23727,759,8258,8027,5600,1083
"Mujeres (008)",9645,341,3287,3393,2255,369
"Desocupada (009)",1272,90,592,355,187,48
"Hombres (010)",951,55,420,274,165,37
"Mujeres (011)",321,35,172,81,22,11
"No PEA (012)",51405,23940,14408,6345,4462,2250
"Hombres (013)",19331,11979,4551,1036,1000,765
"Mujeres (014)",32074,11961,9857,5309,3462,1485
,,,,,,
"URBANA (018)",53196,14029,16615,11505,8289,2758
"Hombres (019)",26528,7087,8099,5659,4348,1335
"Mujeres (020)",26668,6942,8516,5846,3941,1423
"PEA (021)",22764,727,7636,7887,5502,1012
"Hombres (022)",14710,469,4918,4988,3622,713
"Mujeres (023)",8054,258,2718,2899,1880,299
"Ocupada (024)",21840,681,7186,7618,5379,976
"Hombres (025)",14059,440,4623,4793,3519,684
"Mujeres (026)",7781,241,2563,2825,1860,292
"Desocupada (027)",924,46,450,269,123,36
"Hombres (028)",651,29,295,195,103,29
"Mujeres (029)",273,17,155,74,20,7
"No PEA (030)",30432,13302,8979,3618,2787,1746
"Hombres (031)",11818,6618,3181,671,726,622
"Mujeres (032)",18614,6684,5798,2947,2061,1124
,,,,,,
"RURAL (036)",32853,11101,9930,6615,4215,992
"Hombres (037)",17481,5706,5130,3678,2417,550
"Mujeres (038)",15372,5395,4800,2937,1798,442
"PEA (039)",11880,463,4501,3888,2540,488
"Hombres (040)",9968,345,3760,3313,2143,407
"Mujeres (041)",1912,118,741,575,397,81
"Ocupada (042)",11532,419,4359,3802,2476,476
"Hombres (043)",9668,319,3635,3234,2081,399
"Mujeres (044)",1864,100,724,568,395,77
"Desocupada (045)",348,44,142,86,64,12
"Hombres (046)",300,26,125,79,62,8
"Mujeres (047)",48,18,17,7,2,4
"No PEA (048)",20973,10638,5429,2727,1675,504
"Hombres (049)",7513,5361,1370,365,274,143
"Mujeres (050)",13460,5277,4059,2362,1401,361
