"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PUNO (000)",217799,21130,35536,7366,154151
"Quechua (001)",60261,6366,4801,953,48172
"Aymara (002)",57716,4842,5113,1058,46745
"Asháninka (003)",119,10,10,9,94
"Otra lengua nativa (004)",37,9,8,,20
"Castellano (005)",98875,9865,25575,4938,58804
"Idioma Extranjero (006)",625,6,11,406,202
"Es Sordomudo/a (007)",166,32,18,2,114
"Hombres (009)",107174,10340,17168,4637,75286
"Quechua (010)",28826,3037,2467,649,22691
"Aymara (011)",28387,2360,2667,751,22636
"Asháninka (012)",66,6,7,5,51
"Otra lengua nativa (013)",18,3,3,,12
"Castellano (014)",49464,4912,12005,3033,29723
"Idioma Extranjero (015)",322,3,8,197,114
"Es Sordomudo/a (016)",91,19,11,2,59
"Mujeres (018)",110625,10790,18368,2729,78865
"Quechua (019)",31435,3329,2334,304,25481
"Aymara (020)",29329,2482,2446,307,24109
"Asháninka (021)",53,4,3,4,43
"Otra lengua nativa (022)",19,6,5,,8
"Castellano (023)",49411,4953,13570,1905,29081
"Idioma Extranjero (024)",303,3,3,209,88
"Es Sordomudo/a (025)",75,13,7,,55
,,,,,
"URBANA (027)",129971,9132,32775,6387,82037
"Quechua (028)",22992,1538,3954,663,16859
"Aymara (029)",18132,836,3774,653,12903
"Asháninka (030)",52,2,9,7,37
"Otra lengua nativa (031)",30,5,7,,18
"Castellano (032)",88183,6730,25012,4746,51996
"Idioma Extranjero (033)",505,6,2,317,180
"Es Sordomudo/a (034)",77,15,17,1,44
"Hombres (036)",63651,4310,15680,4018,39889
"Quechua (037)",10765,679,2007,457,7637
"Aymara (038)",8782,368,1957,487,5994
"Asháninka (039)",27,1,6,3,19
"Otra lengua nativa (040)",16,2,2,,12
"Castellano (041)",43762,3249,11697,2920,26101
"Idioma Extranjero (042)",257,3,1,150,103
"Es Sordomudo/a (043)",42,8,10,1,23
"Mujeres (045)",66320,4822,17095,2369,42148
"Quechua (046)",12227,859,1947,206,9222
"Aymara (047)",9350,468,1817,166,6909
"Asháninka (048)",25,1,3,4,18
"Otra lengua nativa (049)",14,3,5,,6
"Castellano (050)",44421,3481,13315,1826,25895
"Idioma Extranjero (051)",248,3,1,167,77
"Es Sordomudo/a (052)",35,7,7,,21
,,,,,
"RURAL (054)",87828,11998,2761,979,72114
"Quechua (055)",37269,4828,847,290,31313
"Aymara (056)",39584,4006,1339,405,33842
"Asháninka (057)",67,8,1,2,57
"Otra lengua nativa (058)",7,4,1,,2
"Castellano (059)",10692,3135,563,192,6808
"Idioma Extranjero (060)",120,,9,89,22
"Es Sordomudo/a (061)",89,17,1,1,70
"Hombres (063)",43523,6030,1488,619,35397
"Quechua (064)",18061,2358,460,192,15054
"Aymara (065)",19605,1992,710,264,16642
"Asháninka (066)",39,5,1,2,32
"Otra lengua nativa (067)",2,1,1,,
"Castellano (068)",5702,1663,308,113,3622
"Idioma Extranjero (069)",65,,7,47,11
"Es Sordomudo/a (070)",49,11,1,1,36
"Mujeres (072)",44305,5968,1273,360,36717
"Quechua (073)",19208,2470,387,98,16259
"Aymara (074)",19979,2014,629,141,17200
"Asháninka (075)",28,3,,,25
"Otra lengua nativa (076)",5,3,,,2
"Castellano (077)",4990,1472,255,79,3186
"Idioma Extranjero (078)",55,,2,42,11
"Es Sordomudo/a (079)",40,6,,,34
