"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia BOLIVAR (000)",4256,3676,216,166,198
"Empleado (001)",601,172,107,141,181
"Obrero (002)",637,535,67,18,17
"Trabajador independiente (003)",2201,2174,27,,
"Empleador o patrono (004)",30,27,1,2,
"Trabajador familiar no remunerado (005)",682,663,14,5,
"Trabajador del hogar (006)",105,105,,,
"De 06 a 14 años (008)",134,126,4,4,
"Empleado (009)",2,2,,,
"Obrero (010)",16,13,2,1,
"Trabajador independiente (011)",23,23,,,
"Trabajador familiar no remunerado (013)",85,80,2,3,
"Trabajador del hogar (014)",8,8,,,
"De 15 a 29 años (016)",1304,1156,62,29,57
"Empleado (017)",140,47,20,22,51
"Obrero (018)",239,199,27,7,6
"Trabajador independiente (019)",510,503,7,,
"Empleador o patrono (020)",9,9,,,
"Trabajador familiar no remunerado (021)",361,353,8,,
"Trabajador del hogar (022)",45,45,,,
"De 30 a 44 años (024)",1426,1157,93,88,88
"Empleado (025)",306,84,62,79,81
"Obrero (026)",207,177,17,6,7
"Trabajador independiente (027)",758,748,10,,
"Empleador o patrono (028)",12,10,1,1,
"Trabajador familiar no remunerado (029)",118,113,3,2,
"Trabajador del hogar (030)",25,25,,,
"De 45 a 64 años (032)",1074,926,53,45,50
"Empleado (033)",149,36,25,40,48
"Obrero (034)",143,118,19,4,2
"Trabajador independiente (035)",663,655,8,,
"Empleador o patrono (036)",6,5,,1,
"Trabajador familiar no remunerado (037)",94,93,1,,
"Trabajador del hogar (038)",19,19,,,
"De 65 y más años (040)",318,311,4,,3
"Empleado (041)",4,3,,,1
"Obrero (042)",32,28,2,,2
"Trabajador independiente (043)",247,245,2,,
"Empleador o patrono (044)",3,3,,,
"Trabajador familiar no remunerado (045)",24,24,,,
"Trabajador del hogar (046)",8,8,,,
,,,,,
"URBANA (048)",1670,1192,158,148,172
"Empleado (049)",501,127,87,132,155
"Obrero (050)",277,197,50,13,17
"Trabajador independiente (051)",630,612,18,,
"Empleador o patrono (052)",7,5,1,1,
"Trabajador familiar no remunerado (053)",182,178,2,2,
"Trabajador del hogar (054)",73,73,,,
"De 06 a 14 años (056)",32,31,1,,
"Empleado (057)",1,1,,,
"Obrero (058)",4,3,1,,
"Trabajador independiente (059)",5,5,,,
