"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MOHO (000)",16591,3036,13555
"Casa independiente (001)",13789,2988,10801
"Departamento en edificio (002)",3,3,
"Vivienda en quinta (003)",6,6,
"Vivienda en casa de vecindad (004)",32,32,
"Choza o cabaña (005)",2749,,2749
"Vivienda improvisada (006)",2,2,
"Local no dest.para hab. humana (007)",8,5,3
"Otro tipo (008)",2,,2
