"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia ZARUMILLA (000)",15599,11926,1454,805,1414
"Empleado (001)",3789,1790,502,489,1008
"Obrero (002)",2339,1317,349,287,386
"Trabajador independiente (003)",8031,7496,535,,
"Empleador o patrono (004)",344,282,32,23,7
"Trabajador familiar no remunerado (005)",702,647,36,6,13
"Trabajador del hogar (006)",394,394,,,
"De 06 a 14 años (008)",232,196,30,4,2
"Empleado (009)",46,35,6,4,1
"Obrero (010)",18,14,3,,1
"Trabajador independiente (011)",72,58,14,,
"Empleador o patrono (012)",1,1,,,
"Trabajador familiar no remunerado (013)",82,75,7,,
"Trabajador del hogar (014)",13,13,,,
"De 15 a 29 años (016)",5858,4449,595,277,537
"Empleado (017)",1673,998,203,128,344
"Obrero (018)",1012,538,151,138,185
"Trabajador independiente (019)",2558,2344,214,,
"Empleador o patrono (020)",95,71,12,9,3
"Trabajador familiar no remunerado (021)",321,299,15,2,5
"Trabajador del hogar (022)",199,199,,,
"De 30 a 44 años (024)",5606,4135,564,346,561
"Empleado (025)",1369,520,206,226,417
"Obrero (026)",830,457,126,110,137
"Trabajador independiente (027)",2987,2780,207,,
"Empleador o patrono (028)",127,100,16,8,3
"Trabajador familiar no remunerado (029)",178,163,9,2,4
"Trabajador del hogar (030)",115,115,,,
"De 45 a 64 años (032)",3331,2616,243,169,303
"Empleado (033)",662,215,79,127,241
"Obrero (034)",423,265,64,35,59
"Trabajador independiente (035)",1984,1892,92,,
"Empleador o patrono (036)",99,89,4,5,1
"Trabajador familiar no remunerado (037)",99,91,4,2,2
"Trabajador del hogar (038)",64,64,,,
"De 65 y más años (040)",572,530,22,9,11
"Empleado (041)",39,22,8,4,5
"Obrero (042)",56,43,5,4,4
"Trabajador independiente (043)",430,422,8,,
"Empleador o patrono (044)",22,21,,1,
"Trabajador familiar no remunerado (045)",22,19,1,,2
"Trabajador del hogar (046)",3,3,,,
,,,,,
"URBANA (048)",14268,10712,1399,778,1379
"Empleado (049)",3685,1745,481,476,983
"Obrero (050)",2076,1089,336,275,376
"Trabajador independiente (051)",7228,6709,519,,
"Empleador o patrono (052)",332,274,29,22,7
"Trabajador familiar no remunerado (053)",569,517,34,5,13
"Trabajador del hogar (054)",378,378,,,
