"CUADRO Nº 3: VIVIENDAS COLECTIVAS Y OTRO TIPO, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUARI (000)",60,56,4
"Vivienda colectiva",,,
"Hotel,hostal, hospedaje (002)",23,23,
"Casa pensión (003)",2,2,
"Hospital, clinica (004)",3,3,
"Aldea infantil, orfelinato, etc (007)",1,1,
"Otro (008)",25,21,4
"Otro tipo",,,
"En la calle, personas sin vivienda, garita, puerto (010)",6,6,
