"CUADRO Nº 1: POBLACIÓN TOTAL, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia CHANCHAMAYO (000)",168949,28556,13920,4517,122260
"Menos de 1 año (001)",3352,1604,245,63,1444
"De 1 a 14 años (002)",57384,21503,4448,1167,30323
"De 15 a 29 años (003)",47240,3660,2681,1331,39635
"De 30 a 44 años (004)",33015,1079,3709,1093,27240
"De 45 a 64 años (005)",21251,505,2230,674,17904
"De 65 y mas años (006)",6707,205,607,189,5714
"Hombres (008)",89216,14187,7310,2882,65055
"Menos de 1 año (009)",1667,793,112,28,735
"De 1 a 14 años (010)",29576,11077,2265,580,15683
"De 15 a 29 años (011)",24944,1513,1367,967,21149
"De 30 a 44 años (012)",17224,414,1878,722,14296
"De 45 a 64 años (013)",11943,273,1306,461,9947
"De 65 y mas años (014)",3862,117,382,124,3245
"Mujeres (016)",79733,14369,6610,1635,57205
"Menos de 1 año (017)",1685,811,133,35,709
"De 1 a 14 años (018)",27808,10426,2183,587,14640
"De 15 a 29 años (019)",22296,2147,1314,364,18486
"De 30 a 44 años (020)",15791,665,1831,371,12944
"De 45 a 64 años (021)",9308,232,924,213,7957
"De 65 y mas años (022)",2845,88,225,65,2469
,,,,,
"URBANA (024)",96191,11546,11465,3575,69833
"Menos de 1 año (025)",1803,639,205,43,920
"De 1 a 14 años (026)",31852,8131,3785,894,19089
"De 15 a 29 años (027)",27463,1818,2116,1122,22445
"De 30 a 44 años (028)",19747,576,3039,867,15346
"De 45 a 64 años (029)",11959,258,1825,518,9408
"De 65 y mas años (030)",3367,124,495,131,2625
"Hombres (032)",48935,5668,5774,2256,35389
"Menos de 1 año (033)",907,326,93,19,470
"De 1 a 14 años (034)",16403,4197,1933,444,9853
"De 15 a 29 años (035)",13767,722,990,809,11273
"De 30 a 44 años (036)",9643,217,1438,558,7492
"De 45 a 64 años (037)",6426,137,1021,344,4956
"De 65 y mas años (038)",1789,69,299,82,1345
"Mujeres (040)",47256,5878,5691,1319,34444
"Menos de 1 año (041)",896,313,112,24,450
"De 1 a 14 años (042)",15449,3934,1852,450,9236
"De 15 a 29 años (043)",13696,1096,1126,313,11172
"De 30 a 44 años (044)",10104,359,1601,309,7854
"De 45 a 64 años (045)",5533,121,804,174,4452
"De 65 y mas años (046)",1578,55,196,49,1280
,,,,,
"RURAL (048)",72758,17010,2455,942,52427
"Menos de 1 año (049)",1549,965,40,20,524
"De 1 a 14 años (050)",25532,13372,663,273,11234
"De 15 a 29 años (051)",19777,1842,565,209,17190
"De 30 a 44 años (052)",13268,503,670,226,11894
"De 45 a 64 años (053)",9292,247,405,156,8496
"De 65 y mas años (054)",3340,81,112,58,3089
"Hombres (056)",40281,8519,1536,626,29666
"Menos de 1 año (057)",760,467,19,9,265
"De 1 a 14 años (058)",13173,6880,332,136,5830
"De 15 a 29 años (059)",11177,791,377,158,9876
"De 30 a 44 años (060)",7581,197,440,164,6804
"De 45 a 64 años (061)",5517,136,285,117,4991
"De 65 y mas años (062)",2073,48,83,42,1900
"Mujeres (064)",32477,8491,919,316,22761
"Menos de 1 año (065)",789,498,21,11,259
"De 1 a 14 años (066)",12359,6492,331,137,5404
"De 15 a 29 años (067)",8600,1051,188,51,7314
"De 30 a 44 años (068)",5687,306,230,62,5090
"De 45 a 64 años (069)",3775,111,120,39,3505
"De 65 y mas años (070)",1267,33,29,16,1189
