"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia RODRIGUEZ DE MENDOZA (000)",9548,1067,1665,4678,240,1764,134
"Conviviente (001)",2042,239,362,1167,58,199,17
"Separado(a) (002)",195,31,39,108,4,10,3
"Casado(a) (003)",3982,530,542,2367,120,399,24
"Viudo(a) (004)",222,7,31,147,13,21,3
"Divorciado(a) (005)",30,7,4,16,1,2,
"Soltero(a) (006)",3077,253,687,873,44,1133,87
"Hombres (008)",7799,613,1456,4127,203,1397,3
"Conviviente (009)",1662,146,305,1042,50,119,
"Separado(a) (010)",110,10,27,66,2,5,
"Casado(a) (011)",3289,322,466,2146,106,249,
"Viudo(a) (012)",133,1,18,93,4,17,
"Divorciado(a) (013)",23,5,4,11,1,2,
"Soltero(a) (014)",2582,129,636,769,40,1005,3
"Mujeres (016)",1749,454,209,551,37,367,131
"Conviviente (017)",380,93,57,125,8,80,17
"Separado(a) (018)",85,21,12,42,2,5,3
"Casado(a) (019)",693,208,76,221,14,150,24
"Viudo(a) (020)",89,6,13,54,9,4,3
"Divorciado(a) (021)",7,2,,5,,,
"Soltero(a) (022)",495,124,51,104,4,128,84
,,,,,,,
"URBANA (024)",3228,820,392,1477,62,390,87
"Conviviente (025)",716,172,105,370,10,52,7
"Separado(a) (026)",84,26,10,41,1,3,3
"Casado(a) (027)",1405,419,111,700,34,129,12
"Viudo(a) (028)",76,5,5,53,2,9,2
"Divorciado(a) (029)",18,6,,10,1,1,
"Soltero(a) (030)",929,192,161,303,14,196,63
"Hombres (032)",2277,468,338,1156,49,265,1
"Conviviente (033)",514,105,91,292,8,18,
"Separado(a) (034)",42,9,8,24,1,,
"Casado(a) (035)",999,251,91,563,27,67,
"Viudo(a) (036)",36,,3,25,,8,
"Divorciado(a) (037)",12,4,,6,1,1,
"Soltero(a) (038)",674,99,145,246,12,171,1
"Mujeres (040)",951,352,54,321,13,125,86
"Conviviente (041)",202,67,14,78,2,34,7
"Separado(a) (042)",42,17,2,17,,3,3
"Casado(a) (043)",406,168,20,137,7,62,12
"Viudo(a) (044)",40,5,2,28,2,1,2
"Divorciado(a) (045)",6,2,,4,,,
"Soltero(a) (046)",255,93,16,57,2,25,62
,,,,,,,
"RURAL (048)",6320,247,1273,3201,178,1374,47
"Conviviente (049)",1326,67,257,797,48,147,10
"Separado(a) (050)",111,5,29,67,3,7,
"Casado(a) (051)",2577,111,431,1667,86,270,12
"Viudo(a) (052)",146,2,26,94,11,12,1
"Divorciado(a) (053)",12,1,4,6,,1,
"Soltero(a) (054)",2148,61,526,570,30,937,24
"Hombres (056)",5522,145,1118,2971,154,1132,2
"Conviviente (057)",1148,41,214,750,42,101,
"Separado(a) (058)",68,1,19,42,1,5,
"Casado(a) (059)",2290,71,375,1583,79,182,
"Viudo(a) (060)",97,1,15,68,4,9,
"Divorciado(a) (061)",11,1,4,5,,1,
"Soltero(a) (062)",1908,30,491,523,28,834,2
"Mujeres (064)",798,102,155,230,24,242,45
"Conviviente (065)",178,26,43,47,6,46,10
"Separado(a) (066)",43,4,10,25,2,2,
"Casado(a) (067)",287,40,56,84,7,88,12
"Viudo(a) (068)",49,1,11,26,7,3,1
"Divorciado(a) (069)",1,,,1,,,
"Soltero(a) (070)",240,31,35,47,2,103,22
