"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ANDAHUAYLAS (000)",53370,51550,16273,5944,5895,4962,7466,5075,3425,2510,1820,155305
"De 12 a 14 años (001)",6122,6076,6047,29,,,,,,,46,29
"De 15 a 19 años (002)",7791,7642,6810,718,100,9,5,,,,149,965
"De 20 a 24 años (003)",5619,5005,1670,1962,1040,260,61,12,,,614,5150
"De 25 a 29 años (004)",5100,4649,505,1251,1463,907,482,37,4,,451,9209
"De 30 a 34 años (005)",4940,4750,282,700,1169,1070,1216,266,33,14,190,13642
"De 35 a 39 años (006)",4724,4634,163,393,766,943,1477,661,189,42,90,17553
"De 40 a 44 años (007)",3815,3748,132,214,396,549,1125,802,400,130,67,17530
"De 45 a 49 años (008)",3094,3060,97,158,244,361,726,713,491,270,34,16695
"De 50 y más años (009)",12165,11986,567,519,717,863,2374,2584,2308,2054,179,74532
"PEA (010)",14379,13609,2804,2167,2210,1711,2183,1288,727,519,770,41508
"De 12 a 14 años (011)",324,321,317,4,,,,,,,3,4
"De 15 a 19 años (012)",1317,1278,1100,156,20,,2,,,,39,204
"De 20 a 24 años (013)",1718,1475,620,547,240,53,13,2,,,243,1251
"De 25 a 29 años (014)",1843,1603,293,503,469,209,115,11,3,,240,2658
"De 30 a 34 años (015)",1973,1851,172,400,501,385,317,69,6,1,122,4422
"De 35 a 39 años (016)",1884,1839,77,236,441,368,466,195,44,12,45,6014
"De 40 a 44 años (017)",1527,1496,44,116,219,286,445,236,118,32,31,6212
"De 45 a 49 años (018)",1178,1165,47,84,131,193,297,215,124,74,13,5482
"De 50 y más años (019)",2615,2581,134,121,189,217,528,560,432,400,34,15261
"Ocupada (020)",13896,13170,2651,2083,2143,1666,2135,1268,716,508,726,40606
