"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CHUMBIVILCAS (000)",18283,72,295,793,1657,3610,7494,4362
"De 12 a 14 años (001)",55,,,,,,3,52
"De 15 a 19 años (002)",493,,,,,,277,216
"De 20 a 24 años (003)",1718,,,,,3,1132,583
"De 25 a 29 años (004)",2102,,,,,48,1547,507
"De 30 a 34 años (005)",2026,,,,,214,1463,349
"De 35 a 39 años (006)",2019,,,,9,444,1278,288
"De 40 a 44 años (007)",2003,,,,39,635,1049,280
"De 45 a 49 años (008)",1727,,,2,105,803,598,219
"De 50 y más años (009)",6140,72,295,791,1504,1463,147,1868
"PEA (010)",7674,10,59,249,717,1682,3337,1620
"De 12 a 14 años (011)",7,,,,,,2,5
"De 15 a 19 años (012)",165,,,,,,104,61
"De 20 a 24 años (013)",708,,,,,2,475,231
"De 25 a 29 años (014)",944,,,,,19,696,229
"De 30 a 34 años (015)",922,,,,,110,650,162
"De 35 a 39 años (016)",946,,,,3,214,600,129
"De 40 a 44 años (017)",954,,,,24,312,487,131
"De 45 a 49 años (018)",807,,,2,60,391,252,102
"De 50 y más años (019)",2221,10,59,247,630,634,71,570
"Ocupada (020)",7590,10,59,248,712,1671,3307,1583
"De 12 a 14 años (021)",7,,,,,,2,5
"De 15 a 19 años (022)",155,,,,,,99,56
"De 20 a 24 años (023)",691,,,,,2,471,218
"De 25 a 29 años (024)",927,,,,,19,684,224
"De 30 a 34 años (025)",914,,,,,109,647,158
"De 35 a 39 años (026)",937,,,,3,211,596,127
"De 40 a 44 años (027)",948,,,,24,310,486,128
"De 45 a 49 años (028)",803,,,2,59,390,251,101
"De 50 y más años (029)",2208,10,59,246,626,630,71,566
"Desocupada (030)",84,,,1,5,11,30,37
"De 15 a 19 años (032)",10,,,,,,5,5
"De 20 a 24 años (033)",17,,,,,,4,13
"De 25 a 29 años (034)",17,,,,,,12,5
"De 30 a 34 años (035)",8,,,,,1,3,4
"De 35 a 39 años (036)",9,,,,,3,4,2
"De 40 a 44 años (037)",6,,,,,2,1,3
"De 45 a 49 años (038)",4,,,,1,1,1,1
"De 50 y más años (039)",13,,,1,4,4,,4
"No PEA (040)",10609,62,236,544,940,1928,4157,2742
"De 12 a 14 años (041)",48,,,,,,1,47
"De 15 a 19 años (042)",328,,,,,,173,155
"De 20 a 24 años (043)",1010,,,,,1,657,352
"De 25 a 29 años (044)",1158,,,,,29,851,278
"De 30 a 34 años (045)",1104,,,,,104,813,187
"De 35 a 39 años (046)",1073,,,,6,230,678,159
"De 40 a 44 años (047)",1049,,,,15,323,562,149
