"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CASMA (000)",11391,10986,45,2562,2548,1846,2115,1172,510,188,405,36328
"De 12 a 14 años (001)",6,5,,4,1,,,,,,1,6
"De 15 a 19 años (002)",335,299,1,268,25,4,1,,,,36,334
"De 20 a 24 años (003)",1113,998,4,673,269,46,5,1,,,115,1377
"De 25 a 29 años (004)",1386,1282,6,598,448,160,64,4,2,,104,2283
"De 30 a 34 años (005)",1436,1402,5,394,533,295,154,21,,,34,3134
"De 35 a 39 años (006)",1416,1384,6,197,437,364,307,61,11,1,32,3971
"De 40 a 44 años (007)",1259,1234,3,136,291,340,317,118,24,5,25,4127
"De 45 a 49 años (008)",1070,1059,3,94,188,224,339,156,53,2,11,4098
"De 50 y más años (009)",3370,3323,17,198,356,413,928,811,420,180,47,16998
"PEA (010)",3768,3597,16,945,997,667,579,279,86,28,171,10267
"De 12 a 14 años (011)",2,1,,,1,,,,,,1,2
"De 15 a 19 años (012)",53,49,,41,6,1,1,,,,4,60
"De 20 a 24 años (013)",314,256,3,183,61,9,,,,,58,332
"De 25 a 29 años (014)",467,411,2,224,134,35,15,,1,,56,667
"De 30 a 34 años (015)",587,566,2,198,213,110,35,8,,,21,1152
"De 35 a 39 años (016)",590,577,1,109,212,139,95,20,1,,13,1489
"De 40 a 44 años (017)",548,540,2,72,149,166,118,27,5,1,8,1605
"De 45 a 49 años (018)",412,406,1,48,100,94,108,39,15,1,6,1384
"De 50 y más años (019)",795,791,5,70,121,113,207,185,64,26,4,3576
"Ocupada (020)",3638,3486,15,903,975,645,562,274,84,28,152,9992
"De 12 a 14 años (021)",1,1,,,1,,,,,,,2
"De 15 a 19 años (022)",45,42,,36,4,1,1,,,,3,51
