"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia BOLOGNESI (000)",10942,10619,2944,1317,1354,1142,1762,1076,1024,323
"Católica (001)",8942,8681,2445,1090,1133,951,1411,843,808,261
"Cristiana/Evangélica (002)",1455,1412,352,156,150,143,257,174,180,43
"Otra (003)",409,396,91,54,55,36,77,52,31,13
"Ninguna (004)",136,130,56,17,16,12,17,7,5,6
,,,,,,,,,,
"URBANA (006)",7243,7042,2014,918,941,786,1134,668,581,201
"Católica (007)",5806,5653,1633,749,773,646,895,518,439,153
"Cristiana/Evangélica (008)",1049,1012,270,120,118,98,175,115,116,37
"Otra (009)",286,279,73,37,37,31,51,29,21,7
"Ninguna (010)",102,98,38,12,13,11,13,6,5,4
,,,,,,,,,,
"RURAL (012)",3699,3577,930,399,413,356,628,408,443,122
"Católica (013)",3136,3028,812,341,360,305,516,325,369,108
"Cristiana/Evangélica (014)",406,400,82,36,32,45,82,59,64,6
"Otra (015)",123,117,18,17,18,5,26,23,10,6
"Ninguna (016)",34,32,18,5,3,1,4,1,,2
