"CUADRO Nº 1: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia BOLIVAR (000)",13877,4288,3672,2800,2152,965
"Hombres (001)",7171,2211,1917,1407,1155,481
"Mujeres (002)",6706,2077,1755,1393,997,484
"PEA (003)",4382,141,1366,1456,1096,323
"Hombres (004)",3560,115,1106,1142,915,282
"Mujeres (005)",822,26,260,314,181,41
"Ocupada (006)",4256,134,1304,1426,1074,318
"Hombres (007)",3456,110,1058,1118,893,277
"Mujeres (008)",800,24,246,308,181,41
"Desocupada (009)",126,7,62,30,22,5
"Hombres (010)",104,5,48,24,22,5
"Mujeres (011)",22,2,14,6,,
"No PEA (012)",9495,4147,2306,1344,1056,642
"Hombres (013)",3611,2096,811,265,240,199
"Mujeres (014)",5884,2051,1495,1079,816,443
,,,,,,
"URBANA (018)",4984,1390,1271,1064,893,366
"Hombres (019)",2504,687,644,524,476,173
"Mujeres (020)",2480,703,627,540,417,193
"PEA (021)",1740,35,459,645,498,103
"Hombres (022)",1227,21,311,435,375,85
"Mujeres (023)",513,14,148,210,123,18
"Ocupada (024)",1670,32,423,629,487,99
"Hombres (025)",1172,19,285,423,364,81
"Mujeres (026)",498,13,138,206,123,18
"Desocupada (027)",70,3,36,16,11,4
"Hombres (028)",55,2,26,12,11,4
"Mujeres (029)",15,1,10,4,,
"No PEA (030)",3244,1355,812,419,395,263
"Hombres (031)",1277,666,333,89,101,88
"Mujeres (032)",1967,689,479,330,294,175
,,,,,,
"RURAL (036)",8893,2898,2401,1736,1259,599
"Hombres (037)",4667,1524,1273,883,679,308
"Mujeres (038)",4226,1374,1128,853,580,291
"PEA (039)",2642,106,907,811,598,220
"Hombres (040)",2333,94,795,707,540,197
"Mujeres (041)",309,12,112,104,58,23
"Ocupada (042)",2586,102,881,797,587,219
"Hombres (043)",2284,91,773,695,529,196
"Mujeres (044)",302,11,108,102,58,23
"Desocupada (045)",56,4,26,14,11,1
"Hombres (046)",49,3,22,12,11,1
"Mujeres (047)",7,1,4,2,,
"No PEA (048)",6251,2792,1494,925,661,379
"Hombres (049)",2334,1430,478,176,139,111
"Mujeres (050)",3917,1362,1016,749,522,268
