"CUADRO Nº 8: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"MATERIAL PREDOMINANTE EN LOS PISOS DE LA VIVIENDA",,,,,,
,,TIERRA,CEMENTO,"LOSETAS, TERRAZOS, CERÁMICOS O SIMILARES","PARQUET O MADERA PULIDA","MADERA (PONA, TOR-NILLO, ETC.)","LÁMINAS ASFÁL-TICAS, VINÍLICOS O SIMILARES","OTRO MATERIAL"
,,,,,,,,
"Provincia HUARAL",,,,,,,,
"Viviendas particulares (001)",39427,13035,22357,3292,302,232,76,133
"Ocupantes presentes (002)",161991,52232,93520,13542,1188,686,279,544
"Casa independiente",,,,,,,,
"Viviendas particulares (004)",35893,11856,20411,2961,266,210,63,126
"Ocupantes presentes (005)",149183,47783,86629,12346,1060,620,230,515
"Departamento en edificio",,,,,,,,
"Viviendas particulares (007)",768,,512,206,28,9,13,
"Ocupantes presentes (008)",2702,,1816,714,97,26,49,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (010)",821,,757,59,2,3,,
"Ocupantes presentes (011)",2903,,2659,218,13,13,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (013)",775,188,511,62,5,7,,2
"Ocupantes presentes (014)",2909,751,1862,256,16,17,,7
"Choza o cabaña",,,,,,,,
"Viviendas particulares (016)",312,268,44,,,,,
"Ocupantes presentes (017)",1110,954,156,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (019)",781,696,78,,,2,,5
"Ocupantes presentes (020)",2971,2649,292,,,8,,22
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (022)",70,21,43,4,1,1,,
"Ocupantes presentes (023)",195,78,105,8,2,2,,
"Otro tipo",,,,,,,,
"Viviendas particulares (025)",7,6,1,,,,,
"Ocupantes presentes (026)",18,17,1,,,,,
,,,,,,,,
URBANA,,,,,,,,
"Viviendas particulares (028)",32491,9682,18934,3190,290,201,72,122
"Ocupantes presentes (029)",135396,39721,80039,13136,1140,592,270,498
"Casa independiente",,,,,,,,
"Viviendas particulares (031)",29282,8779,17036,2859,254,180,59,115
"Ocupantes presentes (032)",123732,36252,73310,11940,1012,528,221,469
"Departamento en edificio",,,,,,,,
"Viviendas particulares (034)",768,,512,206,28,9,13,
"Ocupantes presentes (035)",2702,,1816,714,97,26,49,
"Vivienda en quinta",,,,,,,,
"Viviendas particulares (037)",821,,757,59,2,3,,
"Ocupantes presentes (038)",2903,,2659,218,13,13,,
"Vivienda en casa de vecindad",,,,,,,,
"Viviendas particulares (040)",775,188,511,62,5,7,,2
"Ocupantes presentes (041)",2909,751,1862,256,16,17,,7
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Viviendas particulares (046)",781,696,78,,,2,,5
"Ocupantes presentes (047)",2971,2649,292,,,8,,22
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (049)",60,15,40,4,1,,,
"Ocupantes presentes (050)",164,54,100,8,2,,,
"Otro tipo",,,,,,,,
"Viviendas particulares (052)",4,4,,,,,,
"Ocupantes presentes (053)",15,15,,,,,,
,,,,,,,,
RURAL,,,,,,,,
"Viviendas particulares (055)",6936,3353,3423,102,12,31,4,11
"Ocupantes presentes (056)",26595,12511,13481,406,48,94,9,46
"Casa independiente",,,,,,,,
"Viviendas particulares (058)",6611,3077,3375,102,12,30,4,11
"Ocupantes presentes (059)",25451,11531,13319,406,48,92,9,46
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Viviendas particulares (070)",312,268,44,,,,,
"Ocupantes presentes (071)",1110,954,156,,,,,
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Viviendas particulares (076)",10,6,3,,,1,,
"Ocupantes presentes (077)",31,24,5,,,2,,
"Otro tipo",,,,,,,,
"Viviendas particulares (079)",3,2,1,,,,,
"Ocupantes presentes (080)",3,2,1,,,,,
