"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia BARRANCA (000)",52627,12136,15123,18974,1033,2064,1150,2147
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",99,80,,,19,,,
"Profes., científicos e intelectuales (002)",4108,3488,,544,60,15,1,
"Técnicos de nivel medio y trab. asimilados (003)",2188,1434,,650,89,13,2,
"Jefes y empleados de oficina (004)",1860,1843,,7,,10,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",9315,2419,119,5712,227,837,1,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",4037,38,111,3488,399,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",4133,,2223,1776,95,39,,
"Obreros construc.,conf.,papel, fab., instr. (008)",6378,666,2012,3561,103,36,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",17378,1727,10488,2951,34,1032,1146,
"Otra (010)",227,227,,,,,,
"Ocupaciñn no especificada (011)",757,214,170,285,7,81,,
"Desocupado (012)",2147,,,,,,,2147
"Hombres (013)",35376,6767,12671,12720,772,866,37,1543
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",58,45,,,13,,,
"Profes., científicos e intelectuales (015)",1996,1571,,375,44,6,,
"Técnicos de nivel medio y trab. asimilados (016)",1455,890,,508,53,4,,
"Jefes y empleados de oficina (017)",914,906,,3,,5,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",3921,1314,54,2272,108,173,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",3573,37,111,3078,346,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",3584,,1955,1512,87,30,,
"Obreros construc.,conf.,papel, fab., instr. (021)",6271,656,1980,3500,102,33,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",11492,1041,8474,1321,16,603,37,
"Otra (023)",216,216,,,,,,
"Ocupaciñn no especificada (024)",353,91,97,151,3,11,,
"Desocupado (025)",1543,,,,,,,1543
"Mujeres (026)",17251,5369,2452,6254,261,1198,1113,604
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",41,35,,,6,,,
"Profes., científicos e intelectuales (028)",2112,1917,,169,16,9,1,
"Técnicos de nivel medio y trab. asimilados (029)",733,544,,142,36,9,2,
"Jefes y empleados de oficina (030)",946,937,,4,,5,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",5394,1105,65,3440,119,664,1,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",464,1,,410,53,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",549,,268,264,8,9,,
"Obreros construc.,conf.,papel, fab., instr. (034)",107,10,32,61,1,3,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",5886,686,2014,1630,18,429,1109,
"Otra (036)",11,11,,,,,,
"Ocupaciñn no especificada (037)",404,123,73,134,4,70,,
"Desocupado (038)",604,,,,,,,604
,,,,,,,,
"URBANA (039)",44963,11732,10481,17258,861,1641,1057,1933
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",98,79,,,19,,,
"Profes., científicos e intelectuales (041)",3994,3387,,531,60,15,1,
"Técnicos de nivel medio y trab. asimilados (042)",2115,1375,,639,87,12,2,
"Jefes y empleados de oficina (043)",1801,1785,,6,,10,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",8974,2348,107,5498,216,804,1,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",2732,23,100,2362,246,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",3922,,2052,1738,93,39,,
"Obreros construc.,conf.,papel, fab., instr. (047)",6048,633,1877,3403,100,35,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",12456,1672,6197,2830,33,671,1053,
"Otra (049)",226,226,,,,,,
"Ocupaciñn no especificada (050)",664,204,148,251,7,54,,
"Desocupado (051)",1933,,,,,,,1933
"Hombres (052)",29449,6523,8883,11362,624,650,37,1370
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",57,44,,,13,,,
"Profes., científicos e intelectuales (054)",1939,1522,,367,44,6,,
"Técnicos de nivel medio y trab. asimilados (055)",1408,853,,500,51,4,,
"Jefes y empleados de oficina (056)",878,871,,2,,5,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",3803,1278,50,2205,103,167,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",2391,22,100,2057,211,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",3414,,1817,1482,85,30,,
"Obreros construc.,conf.,papel, fab., instr. (060)",5947,623,1847,3346,99,32,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",7698,1007,4981,1261,15,397,37,
"Otra (062)",215,215,,,,,,
"Ocupaciñn no especificada (063)",329,88,88,142,3,8,,
"Desocupado (064)",1370,,,,,,,1370
"Mujeres (065)",15514,5209,1598,5896,237,991,1020,563
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",41,35,,,6,,,
"Profes., científicos e intelectuales (067)",2055,1865,,164,16,9,1,
"Técnicos de nivel medio y trab. asimilados (068)",707,522,,139,36,8,2,
"Jefes y empleados de oficina (069)",923,914,,4,,5,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",5171,1070,57,3293,113,637,1,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",341,1,,305,35,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",508,,235,256,8,9,,
"Obreros construc.,conf.,papel, fab., instr. (073)",101,10,30,57,1,3,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",4758,665,1216,1569,18,274,1016,
"Otra (075)",11,11,,,,,,
"Ocupaciñn no especificada (076)",335,116,60,109,4,46,,
"Desocupado (077)",563,,,,,,,563
,,,,,,,,
"RURAL (078)",7664,404,4642,1716,172,423,93,214
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",1,1,,,,,,
"Profes., científicos e intelectuales (080)",114,101,,13,,,,
"Técnicos de nivel medio y trab. asimilados (081)",73,59,,11,2,1,,
"Jefes y empleados de oficina (082)",59,58,,1,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",341,71,12,214,11,33,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",1305,15,11,1126,153,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",211,,171,38,2,,,
"Obreros construc.,conf.,papel, fab., instr. (086)",330,33,135,158,3,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",4922,55,4291,121,1,361,93,
"Otra (088)",1,1,,,,,,
"Ocupaciñn no especificada (089)",93,10,22,34,,27,,
"Desocupado (090)",214,,,,,,,214
"Hombres (091)",5927,244,3788,1358,148,216,,173
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",1,1,,,,,,
"Profes., científicos e intelectuales (093)",57,49,,8,,,,
